CompT%;pY;Y vol;pM;M vol;C vol;G vol;I vol;X vol;Ener Cost Share;Trade Intens;Import Penet Rate
Crude_oil;-0.6936254;-8.9793405;0;-8.9793405;Nan;Nan;Nan;0;0.1255685;0.7049129;0.0162483
Natural_gas;-0.5679677;-5.5198636;0;-5.5198636;-4.995991;Nan;Nan;0;0.0000824;0.9694278;0.5144639
Coal;178.44733;-10.046681;0;-10.046681;-4.995991;Nan;Nan;0;14.737188;-63.248645;-44.749259
AllFuels;1.7096985;-4.2091681;0;-4.2091681;-4.995991;Nan;Nan;0;0.9435294;0.3886955;0.1569658
Electricity;5.2342802;-4.984521;0;-4.984521;-4.995991;Nan;Nan;0;5.2683224;2.025919;-4.3850285
HeatGeoSol_Th;17.073461;-5.5086116;0;-52.322898;-4.995991;Nan;Nan;Nan;5.0319454;-99.966874;-99.966874
Heavy_Industry;1.9130598;-2.5750748;0;0.6909504;-1.9854647;-1.8787822;-2.0265833;-1.6159559;2.1063832;0.7954927;0.5727925
Buildings_constr;-0.9523409;-0.0096971;0;-41.259952;Nan;Nan;-0.0096787;Nan;0.0478648;-99.997393;-99.997393
Work_constr;-1.0744697;0.0567429;0;-41.880027;0.1549177;Nan;0.1129012;Nan;0.1014493;-99.99941;-99.99941
Automobile;-0.7454584;0.7779249;0;-0.4685991;-0.5102729;Nan;-0.5539435;1.3894665;0.0765963;0.1815410;0.4612170
Load_PipeTransp;4.2859953;-0.5327891;0;-0.5327891;-8.1298279;-8.0298331;Nan;0;3.3855072;-1.5401379;-3.9783127
PassTransp;1.1778956;-2.1194587;0;-2.1194587;-2.1194587;Nan;Nan;Nan;1.1684135;-1.1641827;-1.1347265
Agri_Food_industry;0.2536844;-0.8251356;0;-0.3238155;-1.1211949;-1.0135717;-1.1626761;-0.2529635;0.7775381;0.3945788;0.3134884
Property_business;-0.4551236;-0.3057803;0;-45.215161;-0.4634563;-0.3551171;-0.5052134;Nan;0.0183038;-99.999972;-99.999972
OthSectors;-1.085909;0.4382188;0;-1.4040415;0.0546785;0.1635816;0.0127040;1.363025;0.1018523;0.1081772;-0.5578273
