Variable/Sectoral value;Crude_oil;Natural_gas;Coal;AllFuels;Electricity;HeatGeoSol_Th;Heavy_Industry;Buildings_constr;Work_constr;Automobile;Load_PipeTransp;PassTransp;Agri_Food_industry;Property_business;OthSectors
Households consumption Nominal 0 %share;0;0.76;0;3.45;2.31;0.09;3.97;0;1.16;5.5;0.06;1.42;13.97;18.52;48.79
Government consumption Nominal 0 %share;0;0;0;0;0;0;4.96;0;0;0;0.54;0;0.04;2.78;91.68
Investment Nominal 0 %share;0;0;0;0;0;0;0.04;11.77;33.45;5.12;0;0;0.36;1.82;47.45
Exports Nominal 0 share(%);0;0.13;0.01;1.8;0.71;0;22.64;0;0;8.42;0.19;0;8.4;0;57.71
Imports Nominal 0 share(%);2.57;1.59;0.22;2.67;0.28;0;20.79;0;0;8.75;0.32;0.08;7.2;0;55.53
