CompT_run;pY;Y vol;pM;M vol;C vol;G vol;I vol;X vol;Ener Cost Share;Trade Intens;Import Penet Rate
Crude_oil;237.93998;862.44023;347.10648;41011.393;0;0;0;28;19.506099;69.419368;0.9864834
Natural_gas;226721.14;33.195324;252.31424;36285.587;11524.391;0;0;3336.2683;0.0316351;1.3147598;0.5742985
Coal;924.89625;3004.1795;164.55276;7253.4463;27.941969;0;0;103.5648;91.535696;0.4499318;0.3048299
AllFuels;738.66152;38265.353;454.05869;34252.384;29613.347;0;0;16932;59.90548;0.9062725;0.4607574
Electricity;1122.9849;42873.084;1008.5722;1602.2032;13540.753;0;0;5279.7936;10.293985;0.1189701;0.0353986
HeatGeoSol_Th;910.68828;3276.426;1027.4916;0;1171.9762;0;0;0;71.070062;0;0
Heavy_Industry;1058.9855;175196.27;1000;127347.43;33683.965;20059.184;130.33359;93688.014;7.4798666;1.3587502;0.6768909
Buildings_constr;1059.3287;51560.899;1000;3.162e-16;0;0;49679.819;0;0.2607443;0;0
Work_constr;1058.5693;222045.03;1000;3.079e-16;12504.491;0;145629.18;0;0.6572878;0;0
Automobile;22066.159;3072.7027;21043.918;2515.9208;2529.0712;0;578.80769;1770.7828;0.5796716;1.4750577;0.7185835
Load_PipeTransp;231.71979;366906.08;176.45045;10945.892;4243.7808;18477.269;0;8041.4979;22.47044;0.0359673;0.0225042
PassTransp;99.286522;184558.35;87.518192;5435.1496;189993.5;0;0;0;10.470122;0.0259589;0.0253021
Agri_Food_industry;1078.6113;204857.67;1000;43667.436;113925.81;156.62597;1171.3352;31777.033;3.7356897;0.4080888;0.2001949
Property_business;83.697204;4009851.5;78.108601;2.700e-16;2744736.1;196602.14;108607.89;0;0.1744649;0;0
OthSectors;1061.6272;2709399.2;1000;333005.24;570082.63;511146.58;223151.33;323245.66;0.9643516;0.2272930;0.1152825
