CompT_BY;pY;Y vol;pM;M vol;C vol;G vol;I vol;X vol;Ener Cost Share;Trade Intens;Import Penet Rate
Crude_oil;239.60192;947.5214;347.10648;45057.235;0;0;0;28;19.380531;68.933447;0.9863232
Natural_gas;228016.2;35.134712;252.31424;38405.52;12130.426;0;0;3336.2683;0.0315527;1.3021365;0.5713590
Coal;332.16201;3339.7095;164.55276;8063.5672;29.411357;0;0;103.5648;76.798508;1.2242591;0.5517209
AllFuels;726.24492;39946.78;454.05869;35757.476;31170.628;0;0;16932;58.96195;0.9027635;0.4600353
Electricity;1067.1284;45122.21;1008.5722;1686.2549;14252.823;0;0;5279.7936;5.0256629;0.1166077;0.0370220
HeatGeoSol_Th;777.87765;3467.4335;1027.4916;2.261e-16;1233.607;0;0;0;66.038117;0;0
Heavy_Industry;1039.1068;179826.95;1000;126473.56;34366.296;20443.268;133.02954;95226.837;5.3734835;1.3480268;0.6730358
Buildings_constr;1069.5141;51565.9;1000;3.162e-16;0;0;49684.627;0;0.2128795;0;0
Work_constr;1070.0669;221919.1;1000;3.077e-16;12485.149;0;145464.95;0;0.5558385;0;0
Automobile;22231.888;3048.9839;21043.918;2527.7659;2542.0426;0;582.03182;1746.5156;0.5030752;1.4723847;0.7152845
Load_PipeTransp;222.19646;368871.39;176.45045;11004.523;4619.3239;20090.503;0;8041.4979;19.084933;0.0365300;0.0234366
PassTransp;98.130645;188554.69;87.518192;5552.8397;194107.53;0;0;0;9.3017084;0.0262646;0.0255925
Agri_Food_industry;1075.882;206562.09;1000;43809.298;115217.62;158.22974;1185.1142;31857.621;2.9581516;0.4064849;0.1995692
Property_business;84.079871;4022150.5;78.108601;2.709e-16;2757516;197302.8;109159.38;0;0.1561611;0;0
OthSectors;1073.2821;2697577.9;1000;337747.35;569771.08;510311.8;223122.98;318898.99;0.8624993;0.2270474;0.1159291
