IC prices CO2;Crude;Natur;Coal ;AllFu;Elect;HeatG;Heavy;Build;Work_;Autom;Load_;PassT;Agri_;Prope;OthSe;C;G;I;X;
Crude;0;0;0;8.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Natur;64.6;-0.2;64.6;64.6;64.6;64.6;64.4;44.5;52;52;52;52;51.3;52;52;36;-0.3;-0.3;-0.3;
Coal ;80.9;80.9;255.1;80.9;368.4;309.9;233.4;80.9;240.1;196.5;80.9;80.9;292.7;240.1;283.4;258.3;80.9;80.9;81.3;
AllFu;0.9;0.9;0.9;0.9;66.5;53.5;39.3;29.8;29.8;25.4;29.4;29.4;38.8;29.8;32.2;24.6;0.6;0.6;1.1;
Elect;4.9;4.9;4.9;4.9;5;4.9;4.9;5;5;4.9;4.9;4.9;4.9;5;5;5;5;5;5.1;
HeatG;16.9;16.9;16.9;16.9;16.9;16.9;16.9;16.9;16.9;16.9;16.9;16.9;16.9;16.9;16.9;16.9;16.9;16.9;17.1;
Heavy;1.1;1.1;1.1;1.1;1.1;1.1;1.1;1.1;1.1;1.1;1.1;1.1;1.1;1.1;1.1;1.1;1.1;1.1;1.1;
Build;-0.9;-0.9;-0.9;-0.9;-0.9;-0.9;-0.9;-0.9;-0.9;-0.9;-0.9;-0.9;-0.9;-0.9;-0.9;-0.9;-0.9;-0.9;-1;
Work_;-1.1;-1.1;-1.1;-1.1;-1.1;-1.1;-1.1;-1.1;-1.1;-1.1;-1.1;-1.1;-1.1;-1.1;-1.1;-1.1;-1.1;-1.1;-1.1;
Autom;-0.4;-0.4;-0.4;-0.4;-0.4;-0.4;-0.4;-0.4;-0.4;-0.4;-0.4;-0.4;-0.4;-0.4;-0.4;-0.4;-0.4;-0.4;-0.4;
Load_;7.9;7.9;7.9;7.9;7.9;7.9;7.9;7.9;7.9;7.9;7.9;7.9;7.9;7.9;7.9;7.9;7.9;7.9;7.1;
PassT;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.1;
Agri_;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;
Prope;-0.5;-0.5;-0.5;-0.5;-0.5;-0.5;-0.5;-0.5;-0.5;-0.5;-0.5;-0.5;-0.5;-0.5;-0.5;-0.5;-0.5;-0.5;-0.5;
OthSe;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
;;;;;;;;;;;;;;;;;;;;
w;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
pL;-2.3;-2.3;-2.3;-2.3;-2.3;-2.3;-2.3;-2.3;-2.3;-2.3;-2.3;-2.3;-2.3;-2.3;-2.3;;;;;
pK;-0.9;-0.9;-0.9;-0.9;-0.9;-0.9;-0.9;-0.9;-0.9;-0.9;-0.9;-0.9;-0.9;-0.9;-0.9;;;;;
pY;-0.7;-0.6;178.4;1.7;5.2;17.1;1.9;-1;-1.1;-0.7;4.3;1.2;0.3;-0.5;-1.1;;;;;
pM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
p;0;-0.3;81.3;1.1;5.1;17.1;1.1;-1;-1.1;-0.4;4.2;1.1;0.2;-0.5;-1;;;;;
;;;;;;;;;;;;;;;;;;;;
Units;0.01 €/tep, €/tons;;;;;;;;;;;;;;;;;;;
