2040;PrimEnergy;FinEnHTr;FinEnHRes;AllComp;C;G;I;X;Tot_uses;Y;M
PrimEnergy;0;37481.215288656;9643.39246086144;0;0;0;0;0;0;0;46165.5750102273
FinEnHTr;129.70405511965;0;550.871594379294;38343.2033292784;24079.2843362696;0;0;8949.8399734102;0;0;31049.4664195943
FinEnHRes;63.8598723694153;1546.15296104867;14408.623252762;54450.8023222293;29352.2962766912;0;0;24068.690814921;0;0;55103.8560832855
AllComp;0;0;0;0;0;0;0;701578.883479147;0;0;0
ktoe;0;0;0;0;0;0;0;0;0;0;0
