2045;PrimEnergy;FinEnHTr;FinEnHRes;AllComp;C;G;I;X;Tot_uses;Y;M
PrimEnergy;0;36365.2121034362;9356.26045033929;0;0;0;0;0;0;0;44790.9950142977
FinEnHTr;125.842116878462;0;534.469392656651;37201.5344501491;23362.3236451571;0;0;8683.35848820191;0;0;30124.9685569509
FinEnHRes;61.958444669616;1500.11625663344;13979.606495411;52829.5296830849;28478.3316550527;0;0;23352.0455459067;0;0;53463.1387684057
AllComp;0;0;0;0;0;0;0;694580.634116443;0;0;0
ktoe;0;0;0;0;0;0;0;0;0;0;0
