sigma_ConsoBudget;H1;H2;H3;H4;H5;H6;H7;H8;H9;H10
AllEnergy;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5
AllComp;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29
