sigma_ConsoBudget;H1;H2;H3;H4
Coal;1;1;1;1
COilFFuelExDies;1.46;1.071666667;0.845;0.337
NaturalGas;1.3;1.1;1.4;1.566666667
Allbiofuel;0.8;0.803333333;0.783333333;0.7
Diesel;1.46;1.071666667;0.845;0.337
Electricity;0.72;0.49;0.376666667;0.266666667
PlantedForest;0.8;0.803;0.783;0.7
Cattle;0;0;0;0
RestAgri;0.446;0.426;0.326;0.168333333
Cement;0.37;0.51;0.51;0.54
IronSteel;0.29;0.29;0.29;0.29
NonFerrousMetals;0.2;0.2;0.2;0.2
Chemical;0.2;0.2;0.2;0.2
BovineMeat;0.446;0.426;0.326;0.168333333
RestFoodBeve;0.446;0.426;0.326;0.168333333
PaperPulp;0.2;0.2;0.2;0.2
RestIndus;0.96;0.99;0.866666667;0.485666667
Transp;0.6705;0.515666667;0.476333333;0.2755
RestComp;0.96;0.99;0.866666667;0.485666667
