sigma_pC_AGG_EnCom_HH1;HH1
Coal;-0.3
COilFFuelExDies;-0.3
NaturalGas;-0.3
Allbiofuel;-0.3
Diesel;-0.3
Electricity;-0.3
PlantedForest;-0.3
Cattle;-0.03
RestAgri;-0.03
Cement;-0.03
IronSteel;-0.03
NonFerrousMetals;-0.03
Chemical;-0.03
BovineMeat;-0.03
RestFoodBeve;-0.03
PaperPulp;-0.03
RestIndus;-0.03
Transp;-0.03
RestComp;-0.03
