CompT%;pY;Y vol;pM;M vol;C vol;G vol;I vol;X vol;Ener Cost Share;Trade Intens;Import Penet Rate
Crude_oil;17.073837;-58.857807;-45.500125;-10.587548;Nan;Nan;Nan;46.975264;10.967667;1.2262062;0.0732937
Natural_gas;5.2153061;-96.349899;-38.26087;-10.568073;-21.381205;Nan;Nan;52.237824;0.4782122;1338.4319;74.762994
Coal;-0.9181090;-3.5751748;-6.6808264;-34.732519;-93.930731;Nan;Nan;-41.844907;-0.1544641;-36.306354;-16.47601
AllFuels;-31.15035;-19.550554;-38.154927;-19.550552;-0.8942899;Nan;Nan;-34.528683;-6.7821543;-15.264205;-13.128892
Electricity;-0.9402624;10.280738;38.371117;55.771393;-0.1807171;Nan;Nan;39.731279;-4.1084982;50.307843;94.925628
HeatGeoSol_Th;-16.268083;44.788504;38.371117;-100;1175.5117;Nan;Nan;Nan;-5.9828605;Nan;Nan
Heavy_Industry;-3.4820181;7.9966401;0;1.5378011;8.4401491;7.934112;7.6642147;3.3652976;-2.8637256;-2.7994589;-2.8961983
Buildings_constr;0.1510033;7.6640419;0;-46.167979;Nan;Nan;7.6642147;Nan;-0.1172453;Nan;Nan
Work_constr;0.0715276;6.8791343;0;-46.560433;6.0009678;Nan;7.6642147;Nan;-0.2444464;Nan;Nan
Automobile;-0.2744418;4.5951102;0;4.1180712;6.2461841;Nan;7.6642147;0.5408408;-0.4037320;-1.878347;-2.3449461
Load_PipeTransp;11.67908;1.8014231;0;1.8014231;-14.655405;-15.053667;Nan;0;6.2755724;-5.3748685;-10.1536
PassTransp;1.2130969;4.7389789;0;4.7389789;4.7389789;Nan;Nan;Nan;-2.2776512;-1.1985572;-1.1685315
Agri_Food_industry;-0.4536932;5.4324922;0;4.4826864;6.4845779;5.9876665;7.6642147;0.4709296;-0.6489582;-2.5986892;-1.288685
Property_business;1.4794459;4.6235833;0;-47.688208;4.5305306;4.0427377;7.6642147;Nan;-0.0967421;Nan;Nan
OthSectors;0.0799446;4.7686351;0;4.9106862;5.8427121;5.3487959;7.6642147;-0.3060339;-0.7233051;-2.2792363;-0.4524239
