Economic Table;Corporations;Government;Households;RestOfWorld
Trade_Balance;0;0;0;52.5
GOS_byAgent;406.6;57.9;153.8;0
NetCompWages_byAgent;0;0;740.5;0
InsuranceContrib_byAgent;0;325.3;0;0
Production_Tax_byAgent;0;57.3;0;0
Energ_Tax_byAgent;0;23.6;0;0
Carbon_Tax_byAgent;0;0;0;0
OtherIndirTax_byAgent;0;36.6;0;0
VA_Tax_byAgent;0;135.6;0;0
Property_income;-68.8;-31.4;123.1;-22.9
Unemployment_transfers;0;-42.6;42.6;0
Pensions;0;-278.5;278.5;0
Other_social_transfers;0;-94.2;94.2;0
ClimPolicyCompens;0;0;0;0
Other_Transfers;-90.5;58.1;24.9;7.6
Income_Tax;0;142.6;-142.6;0
Corporate_Tax;-36.7;36.7;0;0
Other_Direct_Tax;0;21.6;-21.6;0
Disposable_Income;210.6;448.6;1293.4;37.1
FC_byAgent;0;521.6;1091.3;0
GFCF_byAgent;200.1;64.3;112.3;0
Tot_FC_byAgent;200.1;585.9;1203.6;0
NetLending;10.5;-137.4;89.7;37.1
NetFinancialDebt;1911.3;1067.6;-2624.2;-354.7
;;;;
Units;1000000 k€;;;
