alpha;Crude;Natur;Coal ;AllFu;Elect;HeatG;Heavy;Build;Work_;Autom;Load_;PassT;Agri_;Prope;OthSe
Crude;0;0;0;1.3;0;0;0;0;0;0;0;0;0;0;0
Natur;0;0;0;0;0.1;0.4;0;0;0;0.1;0;0;0;0;0
Coal ;0;0;1;0;0.1;0.1;0;0;0;0;0;0;0;0;0
AllFu;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0
Elect;0.1;0.1;0;0;0;0.4;0;0;0;0.1;0;0;0;0;0
HeatG;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Heavy;0;1;0;0;0.1;0;0.2;0.1;0.1;1.8;0;0;0;0;0
Build;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Work_;0;0.7;0;0;0;0;0;0.3;0.1;0.1;0;0;0;0;0
Autom;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0
Load_;0;0.1;0;0;0;0;0;0;0;0.1;0.2;0.1;0;0;0.1
PassT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Agri_;0;0;0;0;0;0;0;0;0;0;0;0;0.3;0;0
Prope;0;1.4;0;0;0;0;0.1;0.3;0;0.7;0;0;0;0;0.3
OthSe;0.1;3.3;0;0.1;0.2;0.1;0.4;0.3;0.3;12.4;0;0;0.2;0;0.4
;;;;;;;;;;;;;;;
lambda;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
kappa;0.1;2.5;0;0;0.1;0;0.1;0;0;1;0;0;0.1;0;0.1
;;;;;;;;;;;;;;;
Units;nan;;;;;;;;;;;;;;
