alpha;Crude;Natur;Coal ;AllFu;Elect;HeatG;Heavy;Build;Work_;Autom;Load_;PassT;Agri_;Prope;OthSe
Crude;0;0;0; 8.9;0;0;0;0;0;0;0;0;0;0;0
Natur;-86.5;0;-86.1;-61.7;-35.6;-63.8; 34.6;-16.8;-16.2;-41.4;-37.2; 31.3; 3.4;-34.9;-25.3
Coal ;0;0;-3.2;0;-44.9; 1116.5;-38.5;0;-16.2;-41.4;0;0; 79;-34.9;-37.3
AllFu;0;0;0;0; 54.4; 52;-76.1;-16.8;-16.2;-41.4; 176.6;-31.6;-13.9;-34.9;-79.7
Elect; 392.3; 403.5; 405.4; 537.3;0; 397.9; 8.8;-16.8;-16.2;-41.4;-83.8; 273.8; 39;-34.9;-6.6
HeatG;0;0;0;0;0;0;%i*0.5;0;-16.2;0;0;0;-39.1;-34.9;-44.8
Heavy;0; 6.2;0;0; 6.2;0; 0.1; 0.1; 0.1; 0.1; 0.2; 0.2; 0.5; 0.2; 0.1
Build;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Work_;0; 6.2;0;0; 6.2;0;0;0;0;0; 0.1; 0.1;0;0;0
Autom;0; 6.2;0;0; 6.2;0;0;0;0;0; 0.1; 0.1;0;0;0
Load_;0; 6.2;0;0; 6.2;0;-1;-0.7;-0.7;-0.8;-0.5;-0.5;-4.2;-1.3;-0.5
PassT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Agri_;0; 6.2;0;0; 6.2;0;0;0;0;0; 0.1; 0.1; 0.1;0;0
Prope;0; 6.2;0;0; 6.2;0;-0.1;0;0;-0.1; 0.1; 0.1;-0.3;-0.1;0
OthSe;0; 6.2;0;0; 6.2;0;0;0;0;0; 0.1; 0.1;-0.1;0;0
;;;;;;;;;;;;;;;
lambda;0.2;0.2;0.2;0.2;0.2;0.2;0.1;0.1;0.1;0.1;0.2;0.2;-0.1;0.1;0.2
kappa;3.1;6.2;3.1;3.1;6.2;3.1;3;3.1;3.1;3;3.1;3.1;3;3.1;3.1
;;;;;;;;;;;;;;;
Units;nan;;;;;;;;;;;;;;
