Ratio;Primary Energy;Final Energy;Non-energy goods
Production Price (Laspeyres);5.032653;-17.276721;0.2036630
Real Households consumption (Laspeyres);-22.265703;0.7524016;5.7848784
Exports in volume;46.127267;-23.907653;0.5199561
Imports in volume;-13.042118;-16.501118;3.9850349
Carbon Taxe rate;0 euro/tCO2;;
Revenue-reclycling option;No recycling revenues;;
