Variable/Sectoral value;Crude_oil;Natural_gas;Coal;AllFuels;Electricity;HeatGeoSol_Th;Heavy_Industry;Buildings_constr;Work_constr;Automobile;Load_PipeTransp;PassTransp;Agri_Food_industry;Property_business;OthSectors
Households consumption Nominal 0 %share;0;0.96;0.01;3.84;1.81;0.01;3.97;0;1.16;5.5;0.06;1.42;13.97;18.52;48.78
Government consumption Nominal 0 %share;0;0;0;0;0;0;4.96;0;0;0;0.54;0;0.04;2.78;91.68
Investment Nominal 0 %share;0;0;0;0;0;0;0.04;11.74;33.33;5.3;0;0;0.36;1.8;47.43
Exports Nominal 0 share(%);0.01;0.11;0.01;2.98;0.48;0;23;0;0;8.47;0.15;0;8.25;0;56.53
Imports Nominal 0 share(%);5.57;1.9;0.42;3.12;0.2;0;20.13;0;0;8.46;0.31;0.08;7.03;0;52.78
