CompT_run;pY;Y vol;pM;M vol;C vol;G vol;I vol;X vol;Ener Cost Share;Trade Intens;Import Penet Rate
Crude_oil;210.7528;990;242.50264;57773.2;0;0;0;77.6;15.325391;67.242886;0.9866971
Natural_gas;13051.793;23.222702;144.42203;37461.639;11318.275;0;0;3891.9622;0.6035292;18.794605;0.9969083
Coal;327.05348;3268.1342;167.46336;7890.7522;29.411357;0;0;103.5648;77.710286;1.2655719;0.5601657
AllFuels;422.76581;46809.313;267.9621;29887.187;31170.628;0;0;16932;76.223207;0.7097232;0.3680157
Electricity;740.97533;44587;905.09015;2441.7191;13577.557;0;0;6031.0727;4.6516593;0.1621298;0.0688436
HeatGeoSol_Th;557.96725;3496.1363;922.06836;0;1235.1244;0;0;0;57.654536;0;0
Heavy_Industry;965.17982;178329.93;1000;105517.54;32756.686;19452.21;112.51054;85618.03;3.8635056;1.2394689;0.6213582
Buildings_constr;1001.51;43612.524;1000;2.391e-16;0;0;42021.075;0;0.1725732;0;0
Work_constr;1000.7153;191514.85;1000;2.373e-16;12167.9;0;123027.87;0;0.4609383;0;0
Automobile;20986.165;2921.5359;21043.918;2160.1095;2392.3124;0;492.25694;1525.4159;0.3442230;1.384501;0.6750409
Load_PipeTransp;197.05824;355061.78;176.45045;9234.0742;4850.3696;21059.043;0;7299.4709;15.692633;0.0352952;0.0230275
PassTransp;88.579873;192160.42;87.518192;4997.5066;197157.93;0;0;0;7.1394094;0.0256952;0.0250515
Agri_Food_industry;995.46307;201841.91;1000;37913.965;112123.87;153.71586;1002.3175;27970.045;2.1115202;0.3792902;0.1890549
Property_business;79.264176;3857113.3;78.108601;2.323e-16;2669463.3;190673.59;92322.204;0;0.1104965;0;0
OthSectors;1000.7994;2552739.8;1000;285825.25;552738.19;494203.79;188707.62;278268.53;0.6420898;0.2143965;0.1108410
