IC prices CO2;Crude;Natur;Coal ;AllFu;Elect;HeatG;Heavy;Build;Work_;Autom;Load_;PassT;Agri_;Prope;OthSe;C;G;I;X;
Crude;242.6;242.6;242.6;242.6;242.6;242.6;242.6;242.6;242.6;242.6;242.6;242.6;242.6;242.6;242.6;242.6;242.6;242.6;254.6;
Natur;131;171.3;131;131;131;131;131.4;184.9;160;160;160;160;162;160;160;270.2;198.7;198.7;73.6;
Coal ;228.3;228.3;247.9;228.3;149.6;173.3;293.1;228.3;275.8;389;228.3;228.3;189.2;275.8;201.6;268;272.1;272.1;302.2;
AllFu;595.7;595.7;595.7;595.7;357.5;413.6;554;703.8;699.9;802.5;715.1;715.1;548.7;699.9;651.4;1092.8;1086.4;1086.4;356.5;
Elect;583.7;583.7;583.7;583.7;793.4;583.7;509.2;870.7;836.2;583.7;583.7;583.7;632.3;836.2;867.6;1460.5;1212.6;1212.6;521.7;
HeatG;572;572;572;572;572;572;572;572;573.7;572;572;572;573.7;573.7;573.7;645;694.1;694.1;564.8;
Heavy;1264;1264;1264;1264;1264;1264;1264;1264;1264;1264;1264;1264;1264;1264;1264;1404.1;1404.1;1404.1;1259.3;
Build;1006.1;1006.1;1006.1;1006.1;1006.1;1006.1;1006.1;1006.1;1006.1;1006.1;1006.1;1006.1;1006.1;1006.1;1006.1;1134.5;1134.5;1134.5;1001.5;
Work_;1005.6;1005.6;1005.6;1005.6;1005.6;1005.6;1005.6;1005.6;1005.6;1005.6;1005.6;1005.6;1005.6;1005.6;1005.6;1099.7;1099.7;1099.7;1000.7;
Autom;25554.7;25554.7;25554.7;25554.7;25554.7;25554.7;25554.7;25554.7;25554.7;25554.7;25554.7;25554.7;25554.7;25554.7;25554.7;26591;29461;43594.9;25848.1;
Load_;101.8;101.8;101.8;101.8;101.8;101.8;101.8;101.8;101.8;101.8;101.8;101.8;101.8;101.8;101.8;141.9;141.9;141.9;115.1;
PassT;83.1;83.1;83.1;83.1;83.1;83.1;83.1;83.1;83.1;83.1;83.1;83.1;83.1;83.1;83.1;83.5;83.5;83.5;88.6;
Agri_;1364.3;1364.3;1364.3;1364.3;1364.3;1364.3;1364.3;1364.3;1364.3;1364.3;1364.3;1364.3;1364.3;1364.3;1364.3;1442.4;1442.4;1442.4;1369.2;
Prope;79.3;79.3;79.3;79.3;79.3;79.3;79.3;79.3;79.3;79.3;79.3;79.3;79.3;79.3;79.3;80.3;80.3;80.3;79.3;
OthSe;958;958;958;958;958;958;958;958;958;958;958;958;958;958;958;1021.7;1021.7;1021.7;941.2;
;;;;;;;;;;;;;;;;;;;;
w;79346.1;55132.1;39379.5;68581.9;55132.1;55132.1;45793.2;33900.6;18738.5;61922.2;189616.6;42966.1;30692.9;20900.5;29750.9;;;;;
pL;114203.6;79352.1;56679.3;98710.5;79352.1;79352.1;65910.6;48793.4;26970.6;89125.2;272916.9;61841.5;44176.6;30082.3;42820.7;;;;;
pK;907.4;907.4;907.4;907.4;907.4;907.4;907.4;907.4;907.4;907.4;907.4;907.4;907.4;907.4;907.4;;;;;
pY;210.8;13051.8;327.1;422.8;741;558;965.2;1001.5;1000.7;20986.2;197.1;88.6;995.5;79.3;1000.8;;;;;
pM;242.5;144.4;167.5;268;905.1;922.1;1000;1000;1000;21043.9;176.5;87.5;1000;78.1;1000;;;;;
p;242;152.4;214.2;362.4;749.5;558;978.1;1001.5;1000.7;21010.7;196.5;88.6;996.2;79.3;1000.7;;;;;
;;;;;;;;;;;;;;;;;;;;
Units;1 €/tep, €/tons;;;;;;;;;;;;;;;;;;;
