Quantities;Crude_oil;Gas;Fossil_fuels;Biofuels;Elec;Renew;Agri;Cattle;Cement;IronSteel;RestHeavIndus;FoodBevarage;RestManufIndus;TransRoadFreight;TransRoadPass;RestTrans;CommerceServ;Construction;Composite;C;G;I;X;Tot_uses;Y;M
Crude_oil;82.98403513;0;36044.96038;0;0;0;0;0;0;6.614592142;0;0;96.38934828;0;0;0;0;0;0;0;0;0;66.7153622;36297.66372;34899.65386;1398.00986
Gas;0;11951.31726;0;0;12126.85397;0;0;0;1597.831372;3009.990725;2481.54533;3661.552855;207.2584858;1979.396802;702.6998074;0;604.7157167;36.6145056;205.6833278;5961.302079;0;0;2846.372687;47373.13492;47292.28425;80.85067385
Fossil_fuels;0;0;1831.411726;0;517.2323158;0;2112.500708;459.6336963;0;0;40.504033;0;268.313628;3207.873558;458.9083372;1302.951131;228.7440721;172.9019009;256.1646436;3655.800268;0;0;19388.89401;33901.83402;33361.06374;540.7702804
Biofuels;0;0;0;0;0;0;1472.077079;286.2487433;0;0;0;0;0;872.0677662;128.5216802;0;7.557864615;0;0;755.6295168;0;0;1827.715297;5349.817947;5348.301007;1.516940879
Elec;0;0;0;0;738.3565168;0;98.13847195;0;249.2406665;977.4637158;1171.905936;580.2063008;2465.659714;800.5441797;412.2562005;0;2501.522331;807.5535291;354.1087696;6082.545373;0;0;2.85E-11;17239.50171;16340.38138;899.1203254
Renew;0;0;0;14722.58945;1307.905305;528.1739647;89.72660293;17.44754245;0;0;483.9168436;921.1777131;0;0;0;0;153.7655305;0;0;573.3589562;0;0;0;18798.0619;18690.88776;107.1741454
Agri;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;372000.9835;0
Cattle;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;123900.869;0
Cement;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20763.39461;0
IronSteel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;91183.94881;0
RestHeavIndus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;286573.1454;0
FoodBevarage;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;503218.395;0
RestManufIndus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;260020.3277;0;0;0;0;391813.8086;0
TransRoadFreight;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;236244.9204;0
TransRoadPass;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;173785.6904;0
RestTrans;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;178987.7422;0
CommerceServ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;514973.2823;0
Construction;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;336597.9088;0
Composite;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2499951.744;0
ktoe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
