Quantities;Crude_oil;Gas;Fossil_fuels;Biofuels;Elec;Renew;Agri;Cattle;Cement;IronSteel;RestHeavIndus;FoodBevarage;RestManufIndus;TransRoadFreight;TransRoadPass;RestTrans;CommerceServ;Construction;Composite;C;G;I;X;Tot_uses;Y;M
Crude_oil;62.98515804;0;24624.74751;0;231.7804703;0;0;0;0;6.343265368;0;0;96.4554843;0;0;0;0;0;0;0;0;0;721.4800195;25743.7919;24861.46064;882.3312634
Gas;0;10076.81365;0;0;4243.895496;0;0;0;1464.500537;2722.72653;2358.138165;3261.759772;197.1797761;1862.233283;733.6390241;0;775.5917252;32.17827823;184.3589394;7596.128224;0;0;2003.304152;37512.44755;42178.48221;63.3209426
Fossil_fuels;0;0;1376.792551;0;341.3739994;0;2279.297998;510.6365433;0;0;39.37398709;0;246.0514105;4072.887792;574.8795094;1159.976234;257.4820238;151.9530411;205.7053056;4695.625967;0;0;6909.670057;22821.70642;22365.84246;455.8639614
Biofuels;0;0;0;0;0;0;1104.922852;224.3382303;0;0;0;0;0;860.1964233;130.35137;0;7.577964395;0;0;734.7302069;0;0;1655.418056;4717.535103;4716.197446;1.337657078
Elec;0;0;0;0;627.7393328;0;92.07690434;0;219.1255338;835.9992187;1016.732062;709.8919373;2263.728089;221.6001077;321.4858417;0;2432.528061;709.7100376;323.436918;4844.781683;0;0;1.71E-11;14618.83573;13732.83573;886
Renew;0;0;0;12886.71213;1018.722968;493.6398064;63.13844869;12.81932745;0;0;470.4157075;705.4704715;0;0;0;0;154.1744626;0;0;537.9810167;0;0;0;16343.07434;16267.11656;75.95777614
Agri;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;331859.0494;0
Cattle;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;115409.6768;0
Cement;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18173.81655;0
IronSteel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;78010.17337;0
RestHeavIndus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;248524.755;0
FoodBevarage;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;451559.0102;0
RestManufIndus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;209653.6658;0;0;0;0;357849.9978;0
TransRoadFreight;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;206780.8238;0
TransRoadPass;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;152111.4113;0
RestTrans;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;156664.6713;0
CommerceServ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;447469.2721;0
Construction;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;294617.9447;0
Composite;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2145001.95;0
ktoe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
