Quantities;Crude_oil;Gas;Fossil_fuels;Biofuels;Elec;Renew;Agri;Cattle;Cement;IronSteel;RestHeavIndus;FoodBevarage;RestManufIndus;TransRoadFreight;TransRoadPass;RestTrans;CommerceServ;Construction;Composite;C;G;I;X;Tot_uses;Y;M
Crude_oil;104.9719271;0;35801.93858;0;934.3145761;0;0;0;0;9.384293396;0;0;95.73947343;0;0;0;0;0;0;0;0;0;448.9034691;37395.25232;36154.83597;1240.416347
Gas;0;15840.86022;0;0;18624.30381;0;0;0;1939.547435;3850.925246;3357.268958;3713.141974;238.2760208;993.8671966;1059.447042;0;2651.745621;41.66164074;312.0574929;12004.10564;0;0;3847.496975;68474.70526;68474.70526;0
Fossil_fuels;0;0;2334.888546;0;395.655183;0;4864.387154;967.8477088;0;0;56.68856433;0;292.5852496;5608.399481;939.9224964;1462.539139;706.3722158;196.7356041;318.9963433;8227.993315;0;0;9507.402264;35880.41326;34905.36693;975.0463371
Biofuels;0;0;0;0;0;0;0;0;0;0;0;0;0;707.3683622;153.9400091;0;15.65755815;0;0;1207.578217;0;0;2017.945373;4102.489519;4101.326259;1.163260903
Elec;0;0;0;0;959.5864073;0;129.9248706;0;281.5186244;1075.924803;1301.353781;1317.929781;2693.734903;612.2831041;134.141407;0;4557.174849;918.8709354;415.3604397;5505.29404;0;0;5.69453E-12;19903.09795;19000.06145;903.0364961
Renew;0;0;0;10441.79016;1386.498922;725.4786705;0;0;0;0;677.2793034;508.018524;0;0;0;0;318.554626;0;0;650.2445607;0;0;0;14707.86477;14707.86477;0
Agri;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3806.9072;0;0;0;0;416998.5179;0
Cattle;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3967.6849;0;0;0;0;133016.7951;0
Cement;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6436.994;0;0;0;0;23721.96036;0
IronSteel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31829.657;0;0;0;0;106582.413;0
RestHeavIndus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;115850.34;0;0;0;0;330446.6296;0
FoodBevarage;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;108406.43;0;0;0;0;560787.7316;0
RestManufIndus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;177349.83;0;0;0;0;429001.1501;0
TransRoadFreight;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40975.001;0;0;0;0;269907.3413;0
TransRoadPass;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33147.176;0;0;0;0;198548.3268;0
RestTrans;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40156.807;0;0;0;0;204491.6164;0
CommerceServ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;308367.12;0;0;0;0;592660.7658;0
Construction;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;384559.5771;0
Composite;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1698746;0;0;0;0;2913637.781;0
ktoe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
