IC prices CO2;Crude_oil;Natural_gas;Crude_coal;Coke;Gasoline;LPG;Jetfuel;Road_diesel;Heating_oil;Other_fuels;Electricity;HeatGeoSol_Th;Steel_Iron;NonFerrousMetals;Cement;OthMin;Construction;ChemicalPharma;Paper;Mining;Automobile;OthTranspEquip;LandTransp;NavalTransp;AirTransp;Agri_Forestry;Fishing;Food_industry;Property_business;Comp;C;G;I;X;Tot_uses;Y;M
ChemicalPharma;1372.3155;1372.3155;1372.3155;1372.3155;1372.3155;1372.3155;1372.3155;1372.3155;1372.3155;1372.3155;1372.3155;1372.3155;1372.3155;1372.3155;1372.3155;1372.3155;1372.3155;1372.3155;1372.3155;1372.3155;1372.3155;1372.3155;1372.3155;1372.3155;1372.3155;1372.3155;1372.3155;1372.3155;1372.3155;1372.3155;1501.4612;1501.4612;1501.4612;1364.3698;990.73816;985.10267;1000
Paper;1175.4313;1175.4313;1175.4313;1175.4313;1175.4313;1175.4313;1175.4313;1175.4313;1175.4313;1175.4313;1175.4313;1175.4313;1175.4313;1175.4313;1175.4313;1175.4313;1175.4313;1175.4313;1175.4313;1175.4313;1175.4313;1175.4313;1175.4313;1175.4313;1175.4313;1175.4313;1175.4313;1175.4313;1175.4313;1175.4313;1505.7181;1505.7181;1505.7181;1174.5017;981.51437;973.6496;1000
Mining;1265.7887;1265.7887;1265.7887;1265.7887;1265.7887;1265.7887;1265.7887;1265.7887;1265.7887;1265.7887;1265.7887;1265.7887;1265.7887;1265.7887;1265.7887;1265.7887;1265.7887;1265.7887;1265.7887;1265.7887;1265.7887;1265.7887;1265.7887;1265.7887;1265.7887;1265.7887;1265.7887;1265.7887;1265.7887;1265.7887;2020.4416;2020.4416;2020.4416;1259.6624;949.78395;927.68875;1000
Automobile;25342.824;25342.824;25342.824;25342.824;25342.824;25342.824;25342.824;25342.824;25342.824;25342.824;25342.824;25342.824;25342.824;25342.824;25342.824;25342.824;25342.824;25342.824;25342.824;25342.824;25342.824;25342.824;25342.824;25342.824;25342.824;25342.824;25342.824;25342.824;25342.824;25342.824;26425.172;29277.552;43324.806;25636.2;20838.458;20714.206;21043.918
OthTranspEquip;1009.6106;1009.6106;1009.6106;1009.6106;1009.6106;1009.6106;1009.6106;1009.6106;1009.6106;1009.6106;1009.6106;1009.6106;1009.6106;1009.6106;1009.6106;1009.6106;1009.6106;1009.6106;1009.6106;1009.6106;1009.6106;1009.6106;1009.6106;1009.6106;1009.6106;1009.6106;1009.6106;1009.6106;1009.6106;1009.6106;1283.2307;1283.2307;1283.2307;1008.5294;982.84572;977.77265;1000
LandTransp;590.29681;590.29681;590.29681;590.29681;590.29681;590.29681;590.29681;590.29681;590.29681;590.29681;590.29681;590.29681;590.29681;590.29681;590.29681;590.29681;590.29681;590.29681;590.29681;590.29681;590.29681;590.29681;590.29681;590.29681;590.29681;590.29681;590.29681;590.29681;590.29681;590.29681;632.25369;632.25369;632.25369;665.39662;1032.7451;1033.4385;1000
NavalTransp;1778.8213;1778.8213;1778.8213;1778.8213;1778.8213;1778.8213;1778.8213;1778.8213;1778.8213;1778.8213;1778.8213;1778.8213;1778.8213;1778.8213;1778.8213;1778.8213;1778.8213;1778.8213;1778.8213;1778.8213;1778.8213;1778.8213;1778.8213;1778.8213;1778.8213;1778.8213;1778.8213;1778.8213;1778.8213;1778.8213;1807.0521;1807.0521;1807.0521;1896.0128;2013.7909;2013.7909;1667.7837
AirTransp;1480.4315;1480.4315;1480.4315;1480.4315;1480.4315;1480.4315;1480.4315;1480.4315;1480.4315;1480.4315;1480.4315;1480.4315;1480.4315;1480.4315;1480.4315;1480.4315;1480.4315;1480.4315;1480.4315;1480.4315;1480.4315;1480.4315;1480.4315;1480.4315;1480.4315;1480.4315;1480.4315;1480.4315;1480.4315;1480.4315;1499.0397;1499.0397;1499.0397;1435.3204;1457.8926;1473.2415;1383.8995
Agri_Forestry;1225.9885;1225.9885;1225.9885;1225.9885;1225.9885;1225.9885;1225.9885;1225.9885;1225.9885;1225.9885;1225.9885;1225.9885;1225.9885;1225.9885;1225.9885;1225.9885;1225.9885;1225.9885;1225.9885;1225.9885;1225.9885;1225.9885;1225.9885;1225.9885;1225.9885;1225.9885;1225.9885;1225.9885;1225.9885;1225.9885;1296.3591;1296.3591;1296.3591;1246.8463;974.76594;972.2141;1000
Fishing;1647.494;1647.494;1647.494;1647.494;1647.494;1647.494;1647.494;1647.494;1647.494;1647.494;1647.494;1647.494;1647.494;1647.494;1647.494;1647.494;1647.494;1647.494;1647.494;1647.494;1647.494;1647.494;1647.494;1647.494;1647.494;1647.494;1647.494;1647.494;1647.494;1647.494;1732.454;1732.454;1732.454;1646.5493;911.55579;864.5025;1000
Food_industry;1386.306;1386.306;1386.306;1386.306;1386.306;1386.306;1386.306;1386.306;1386.306;1386.306;1386.306;1386.306;1386.306;1386.306;1386.306;1386.306;1386.306;1386.306;1386.306;1386.306;1386.306;1386.306;1386.306;1386.306;1386.306;1386.306;1386.306;1386.306;1386.306;1386.306;1467.4634;1467.4634;1467.4634;1383.5906;980.27461;976.79685;1000
Property_business;115.8453;115.8453;115.8453;115.8453;115.8453;115.8453;115.8453;115.8453;115.8453;115.8453;115.8453;115.8453;115.8453;115.8453;115.8453;115.8453;115.8453;115.8453;115.8453;115.8453;115.8453;115.8453;115.8453;115.8453;115.8453;115.8453;115.8453;115.8453;115.8453;115.8453;117.34926;117.34926;117.34926;115.81573;115.81573;115.81573;78.1086
Comp;964.49439;964.49439;964.49439;964.49439;964.49439;964.49439;964.49439;964.49439;964.49439;964.49439;964.49439;964.49439;964.49439;964.49439;964.49439;964.49439;964.49439;964.49439;964.49439;964.49439;964.49439;964.49439;964.49439;964.49439;964.49439;964.49439;964.49439;964.49439;964.49439;964.49439;1028.4575;1028.4575;1028.4575;947.4182;1008.4055;1009.1217;1000
euro_per_toe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
