Socio demograhic variables;value;units
Population;67187;Thousands of people
Retired;17834.355;Thousands of people
Unemployed;2859.6716;Thousands of people
Labour_force;29592.561;Thousands of people
Consumption_Units;0;0
Nb_Households;%nan;Thousands of people
