1.87E-07;4.73E-07;4.25E-07;2.29E-07;1.22E-06;0;1.95E-07;1.95E-07;1.46E-07;1.46E-07;7.79E-08;6.32E-08;6.01E-07;6.01E-07;6.16E-07;1.15E-07;0;1.01E-07;1.01E-07
3.04E-08;2.09E-07;8.85E-10;4.81E-09;5.42E-10;0;1.00E-09;1.00E-09;3.53E-10;3.53E-10;2.83E-11;9.70E-10;6.38E-09;6.38E-09;1.01E-09;2.39E-09;0;4.35E-10;4.35E-10
1.88E-16;1.08E-13;1.43E-15;2.46E-09;5.01E-10;0;1.84E-09;1.84E-09;4.83E-10;4.83E-10;1.44E-09;1.53E-10;2.68E-09;2.68E-09;2.59E-09;3.35E-10;0;5.33E-10;5.33E-10
2.94E-19;3.26E-13;8.76E-17;5.61E-12;3.20E-10;0;1.00E-09;1.00E-09;2.24E-11;2.24E-11;1.47E-11;1.17E-10;1.84E-09;1.84E-09;1.85E-08;1.27E-09;0;1.05E-09;1.05E-09
3.11E-16;2.07E-12;1.95E-08;2.90E-09;3.17E-08;0;1.21E-08;1.21E-08;1.36E-08;1.36E-08;7.67E-09;4.15E-09;6.41E-09;6.41E-09;1.39E-09;8.00E-09;0;6.25E-09;6.25E-09
3.09E-17;4.28E-14;3.42E-18;1.49E-09;1.42E-11;0;3.61E-09;3.61E-09;3.65E-09;3.65E-09;5.00E-09;2.96E-09;2.61E-09;2.61E-09;1.51E-08;1.68E-10;0;2.33E-09;2.33E-09
4.50E-19;5.29E-13;2.08E-14;4.05E-11;4.81E-09;0;9.45E-10;9.45E-10;9.36E-11;9.36E-11;4.73E-11;2.82E-10;1.09E-08;1.09E-08;4.66E-09;4.36E-10;0;4.86E-10;4.86E-10
3.22E-08;1.29E-07;9.73E-08;2.90E-07;1.82E-08;0;2.04E-08;2.04E-08;1.94E-08;1.94E-08;2.39E-10;4.16E-09;6.43E-08;6.43E-08;4.91E-08;2.00E-09;0;5.69E-09;5.69E-09
1.28E-14;2.86E-10;7.16E-12;1.47E-08;2.24E-08;0;1.00E-08;1.00E-08;1.92E-09;1.92E-09;9.12E-10;9.12E-10;1.02E-08;1.02E-08;1.66E-08;2.13E-08;0;2.50E-09;2.50E-09
6.68E-09;3.36E-09;1.95E-10;1.20E-08;1.19E-07;0;1.75E-08;1.75E-08;3.32E-09;3.32E-09;7.62E-09;1.23E-08;1.99E-08;1.99E-08;6.33E-08;9.07E-09;0;5.85E-09;5.85E-09
2.56E-13;3.11E-09;9.61E-08;9.68E-08;5.11E-08;0;5.32E-08;5.32E-08;1.44E-08;1.44E-08;5.73E-09;1.39E-07;2.19E-07;2.19E-07;4.01E-07;9.29E-09;0;2.84E-08;2.84E-08
6.20E-18;1.33E-11;2.44E-11;7.31E-09;8.28E-08;0;1.71E-08;1.71E-08;9.62E-09;9.62E-09;3.51E-08;4.64E-09;1.07E-07;1.07E-07;5.30E-08;2.48E-08;0;4.67E-09;4.67E-09
1.17E-11;6.04E-13;1.92E-12;1.02E-08;1.40E-08;0;1.51E-08;1.51E-08;9.90E-09;9.90E-09;8.34E-09;5.46E-09;6.24E-08;6.24E-08;5.99E-08;9.94E-09;0;7.70E-09;7.70E-09
2.08E-14;1.37E-10;1.29E-11;1.30E-08;1.54E-08;0;1.38E-08;1.38E-08;1.55E-09;1.55E-09;3.29E-09;1.98E-09;2.68E-08;2.68E-08;1.78E-08;1.56E-08;0;5.00E-09;5.00E-09
5.83E-12;1.92E-08;5.23E-08;9.58E-08;2.58E-07;0;9.97E-08;9.97E-08;1.62E-07;1.62E-07;1.22E-08;3.71E-08;6.94E-08;6.94E-08;7.22E-08;1.49E-08;0;1.52E-07;1.52E-07
5.21E-14;3.00E-09;2.77E-09;1.42E-08;5.91E-07;0;5.54E-08;5.54E-08;1.76E-08;1.76E-08;5.14E-08;3.32E-08;3.59E-08;3.59E-08;9.91E-08;1.95E-08;0;1.66E-08;1.66E-08
