Variation (%);Crude_oil;Natural_gas;Coal;AllFuels;Electricity;HeatGeoSol_Th;Heavy_Industry;Buildings_constr;Work_constr;Automobile;Load_PipeTransp;PassTransp;Agri_Food_industry;Property_business;OthSectors
Production Price;1.669499;1.4634772;-0.5784338;13.405658;1.7997256;3.4740689;1.5310943;1.6301609;1.6675293;1.4072326;4.2182558;2.8786762;1.6563891;1.5939609;1.7300751
Real Households consumption_Households;Nan;0;0;0;0;0;4.58059;Nan;3.7945458;4.7017804;-0.3917415;2.4432937;4.0900611;3.8623953;3.952792
Exports in volume;0;0;0;0;0;Nan;3.3394087;Nan;Nan;3.4722288;-0.9754998;Nan;2.8626432;Nan;2.6963492
Imports in volume;0.9074978;1.5701464;2.1900952;0.9080555;1.5896648;-49.07847;4.2090197;-39.651507;-40.32343;4.7419486;6.6582466;5.307942;4.9576361;-43.493262;4.7799858
Trade balance ;26.413887;15.936594;0.4538519;34.385459;-5.0549339;Nan;-2.386817;4.8120248;4.8852664;8.2226038;9.6312402;5.307942;-5.7155084;6.435417;14.701054
Energy Cost share variation;0.3912911;0.5725876;-0.5586222;8.4012809;4.1724757;0.7682844;2.6975894;8.0711426;6.2734368;3.6532073;8.2646846;5.2940619;5.2483695;2.5447114;2.4545338
 Energy/Labour cost variation;0.1163310;0.0938902;-3.0236272;20.583349;4.0202266;2.2759671;2.2768913;7.7334478;5.980313;3.102662;10.674818;6.2545288;4.9465722;2.1878737;2.2347994
Labour;-1.4990544;-0.8522094;-0.2470458;-1.49851;-0.8331565;-0.5858047;0.1897299;0.5972059;0.6284137;0.8251045;-0.0995138;-0.0799321;0.7850984;1.1449077;0.5416325
Unitary Labour Cost variation;1.9487247;1.9487247;1.9487247;1.9487247;1.9487247;1.9487247;1.9487247;1.9487247;1.9487247;1.9487247;1.9487247;1.9487247;1.9487247;1.9487247;1.9487247
Net nominal wages;4.4395122;4.4395122;4.4395122;4.4395122;4.4395122;4.4395122;4.4395122;4.4395122;4.4395122;4.4395122;4.4395122;4.4395122;4.4395122;4.4395122;4.4395122
Net real wages (Consumer Price Index);2.6387662;2.6387662;2.6387662;2.6387662;2.6387662;2.6387662;2.6387662;2.6387662;2.6387662;2.6387662;2.6387662;2.6387662;2.6387662;2.6387662;2.6387662
Purchasing power of wages_Households;0.8365872;0.9703305;1.0571616;0.9624264;1.0232493;1.0096696;1.0351234;1.0277141;1.0273433;1.0363229;0.985908;1.0139688;1.0302682;1.0280148;1.0289096
Carbon Taxe rate;0 euro/tCO2;;;;;;;;;;;;;;
Revenue-reclycling option;No recycling revenues;;;;;;;;;;;;;;
