IC prices CO2;Crude;Natur;Coal ;AllFu;Elect;HeatG;Heavy;Build;Work_;Autom;Load_;PassT;Agri_;Prope;OthSe;C;G;I;X;
Crude;276.9;276.9;276.9;276.9;276.9;276.9;276.9;276.9;276.9;276.9;276.9;276.9;276.9;276.9;276.9;276.9;276.9;276.9;290.6;
Natur;337.7;450.5;337.7;337.7;337.7;337.7;338.8;488.7;418.8;418.8;418.8;418.8;424.5;418.8;418.8;742.8;543;543;206.4;
Coal ;230.5;230.5;250.3;230.5;151;175;295.9;230.5;278.4;392.7;230.5;230.5;191;278.4;203.5;270;274.1;274.1;305.1;
AllFu;766.3;766.3;766.3;766.3;428.4;508;707.2;919.8;914.3;1059.9;935.9;935.9;699.7;914.3;845.5;1291.4;1282.4;1282.4;506;
Elect;804;804;804;804;1095.8;804;700.3;1203.3;1155.3;804;804;804;871.6;1155.3;1199;2010;1666.6;1666.6;726.1;
HeatG;768.1;768.1;768.1;768.1;768.1;768.1;768.1;768.1;770.4;768.1;768.1;768.1;770.4;770.4;770.4;863.9;929.9;929.9;761;
Heavy;1310;1310;1310;1310;1310;1310;1310;1310;1310;1310;1310;1310;1310;1310;1310;1453.2;1453.2;1453.2;1305.3;
Build;1056.9;1056.9;1056.9;1056.9;1056.9;1056.9;1056.9;1056.9;1056.9;1056.9;1056.9;1056.9;1056.9;1056.9;1056.9;1190;1190;1190;1052.4;
Work_;1057.4;1057.4;1057.4;1057.4;1057.4;1057.4;1057.4;1057.4;1057.4;1057.4;1057.4;1057.4;1057.4;1057.4;1057.4;1155;1155;1155;1052.5;
Autom;26190.9;26190.9;26190.9;26190.9;26190.9;26190.9;26190.9;26190.9;26190.9;26190.9;26190.9;26190.9;26190.9;26190.9;26190.9;27203.4;30138.6;44593.7;26484.2;
Load_;110.9;110.9;110.9;110.9;110.9;110.9;110.9;110.9;110.9;110.9;110.9;110.9;110.9;110.9;110.9;154.1;154.1;154.1;124.3;
PassT;88.7;88.7;88.7;88.7;88.7;88.7;88.7;88.7;88.7;88.7;88.7;88.7;88.7;88.7;88.7;90.2;90.2;90.2;95.2;
Agri_;1435.9;1435.9;1435.9;1435.9;1435.9;1435.9;1435.9;1435.9;1435.9;1435.9;1435.9;1435.9;1435.9;1435.9;1435.9;1517;1517;1517;1440.8;
Prope;82.8;82.8;82.8;82.8;82.8;82.8;82.8;82.8;82.8;82.8;82.8;82.8;82.8;82.8;82.8;83.8;83.8;83.8;82.8;
OthSe;1004;1004;1004;1004;1004;1004;1004;1004;1004;1004;1004;1004;1004;1004;1004;1069.7;1069.7;1069.7;987.1;
;;;;;;;;;;;;;;;;;;;;
w;87803.8;61008.7;43577;75892.2;61008.7;61008.7;50674.4;37514.1;20735.9;68522.7;209828.2;47546;33964.5;23128.4;32922.1;;;;;
pL;127398.5;88520.3;63227.9;110115.4;88520.3;88520.3;73525.7;54430.9;30086.7;99422.6;304449.2;68986.6;49280.6;33558;47768.2;;;;;
pK;950.1;950.1;950.1;950.1;950.1;950.1;950.1;950.1;950.1;950.1;950.1;950.1;950.1;950.1;950.1;;;;;
pY;235.7;224727.4;334.1;640.4;1048.3;751.8;1023.4;1052.4;1052.5;21923.4;213.2;95.4;1058.4;82.8;1055;;;;;
pM;277.1;222.3;167.5;373.7;905.1;922.1;1000;1000;1000;21043.9;176.5;87.5;1000;78.1;1000;;;;;
p;276.2;427.5;216.3;514.4;1043.1;751.8;1013.8;1052.4;1052.5;21527.8;212.2;95.2;1048.3;82.8;1049;;;;;
;;;;;;;;;;;;;;;;;;;;
Units;1 €/tep, €/tons;;;;;;;;;;;;;;;;;;;
