Variable/Sectoral value;Crude_oil;Natural_gas;Coal;AllFuels;Electricity;HeatGeoSol_Th;Heavy_Industry;Buildings_constr;Work_constr;Automobile;Load_PipeTransp;PassTransp;Agri_Food_industry;Property_business;OthSectors
Households consumption Nominal 0 %share;0;0.75;0;3.35;2.38;0.09;3.98;0;1.16;5.5;0.06;1.42;13.98;18.53;48.81
Government consumption Nominal 0 %share;0;0;0;0;0;0;4.96;0;0;0;0.54;0;0.04;2.78;91.68
Investment Nominal 0 %share;0;0;0;0;0;0;0.04;11.76;33.41;5.16;0;0;0.36;1.82;47.46
Exports Nominal 0 share(%);0;0.13;0.01;1.62;0.72;0;22.68;0;0;8.43;0.19;0;8.41;0;57.81
Imports Nominal 0 share(%);2.15;1.46;0.23;2.3;0.26;0;21.09;0;0;8.83;0.32;0.08;7.25;0;56.02
