Economic Table;Corporations;Government;Households;RestOfWorld
Trade_Balance;0;0;0; 20.6
GOS_byAgent; 4.8; 4.8; 4.8;0
NetCompWages_byAgent;0;0; 5;0
InsuranceContrib_byAgent;0; 5;0;0
Production_Tax_byAgent;0; 4.9;0;0
Energ_Tax_byAgent;0; 0.6;0;0
Carbon_Tax_byAgent;0;-100;0;0
OtherIndirTax_byAgent;0; 3.3;0;0
VA_Tax_byAgent;0; 5.1;0;0
Property_income; 4.9; 4.9; 4.9; 4.9
Unemployment_transfers;0; 4.9; 4.9;0
Pensions;0; 7.9; 7.9;0
Other_social_transfers;0; 4.9; 4.9;0
ClimPolicyCompens;0;0;0;0
Other_Transfers; 4.9; 4.9; 4.9; 4.9
Income_Tax;0; 5.5; 5.5;0
Corporate_Tax; 4.8; 4.8;0;0
Other_Direct_Tax;0; 4.9; 4.9;0
Disposable_Income; 4.8; 3.2; 5.5; 27.8
FC_byAgent;0; 4.9; 5.5;0
GFCF_byAgent; 4.6; 3.2; 5.5;0
Tot_FC_byAgent; 4.6; 4.7; 5.5;0
NetLending; 1.3; 13.6; 5.5; 27.8
NetFinancialDebt;0; 0.7; 0.1; 3.3
;;;;
Units;0.01 k€;;;
