;2020;2022;2024;2026
PrimEnergy;2.2196704;2.2196704;2.2196704;2.2196704
FinEnHTr;0.3887555;0.3887555;0.3887555;0.3887555
FinEnHRes;2.9127151;2.9127151;2.9127151;2.9127151
AllComp;3.2089681;3.2089681;3.2089681;3.2089681
