CompT%;pY;Y vol;pM;M vol;C vol;G vol;I vol;X vol;Ener Cost Share;Trade Intens;Import Penet Rate
Crude_oil;0;-8.9045951;0;-8.9045951;Nan;Nan;Nan;0;-0.9118770;0.0063466;0.0062642
Natural_gas;0;-5.2820728;0;-5.2820728;-4.995991;Nan;Nan;0;-0.0015731;0.3964053;0.2444173
Coal;0;-9.0116597;0;-9.0116597;-4.995991;Nan;Nan;0;120.34627;0.2276664;0.1287291
AllFuels;0;-4.1304529;0;-4.1304529;-4.995991;Nan;Nan;0;1.7933776;1.6375138;1.2301154
Electricity;0;-4.8688887;0;-4.8688887;-4.995991;Nan;Nan;0;5.0207628;3.5678273;0.4379917
HeatGeoSol_Th;0;-5.1963164;0;-52.165325;-4.995991;Nan;Nan;Nan;14.36827;-99.961219;-99.961219
Heavy_Industry;0;-0.3188029;0;-0.3188029;-0.7107475;0.0121530;0.0055356;2.220e-14;1.6259153;0.1592411;0.2139120
Buildings_constr;0;0.0054993;0;-41.251024;Nan;Nan;0.0055356;Nan;0.0424436;-99.997418;-99.997418
Work_constr;0;-0.1479384;0;-41.99892;-0.7107475;Nan;0.0055356;Nan;0.0798400;-99.999416;-99.999416
Automobile;0;-0.3699952;0;-0.3699952;-0.7107475;Nan;0.0055356;6.661e-14;0.0570415;0.1734370;0.2333038
Load_PipeTransp;0;-0.3713863;0;-0.3713863;-0.9768192;-0.2558559;Nan;0;4.1804393;0.2161421;0.0078115
PassTransp;0;-0.7107475;0;-0.7107475;-0.7107475;Nan;Nan;Nan;1.0724099;-8.105e-13;-8.105e-13
Agri_Food_industry;0;-0.5092723;0;-0.5092723;-0.7107475;0.0121530;0.0055356;-1.110e-14;0.684754;0.2636378;0.1086091
Property_business;0;-0.5791946;0;-45.36541;-0.7107475;0.0121530;0.0055356;Nan;0.0111380;-99.999972;-99.999972
OthSectors;0;-0.3274419;0;-0.3274419;-0.7223308;0.0004853;-0.0061313;-0.0161939;0.0575637;0.1576145;0.0355759
