IC_value;Crude;Natur;Coal ;AllFu;Elect;HeatG;Heavy;Build;Work_;Autom;Load_;PassT;Agri_;Prope;OthSe;C;G;I;X;Uses;
Crude;-100;-100;-100;-1;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100.1;-100;-100;0;-1;
Natur;42.7;-100;42.5;50.1;49;48.5;55.9;37.5;44.4;44.1;44.1;43.6;43.2;43.8;44.2; 29.5;-100;-100;0;37;
Coal ;-100;-100;137.1;-100;250.5;196.5;139.1;-100;145.9;104;-100;-100;194.9;144.8;186.6; 163.6;-100;-100;0;161.2;
AllFu;-100;-100;-100;-100;49.9;37.6;31.2;22.5;22.3;17.8;21.6;21.2;30.5;21.8;24.3; 17.8;-100;-100;0;17.8;
Elect;-13.4;-10;-13.5;-8.9;-100;-9.9;-5.3;-5;-5.1;-5.3;-5.3;-5.7;-5.5;-5.5;-5.3;-5;-100;-100;0;-5;
HeatG;-100;-100;-100;-100;-100;-100;-5.3;-100;-5.1;-100;-100;-100;-5.5;-5.5;-5.3;-5;-100;-100;0;-5.2;
Heavy;-100;-5.3;-9;-4.1;-4.9;-5.2;-0.3;0;-0.1;-0.4;-0.4;-0.7;-0.5;-0.6;-0.3;-0.7;0;0;0;-0.3;
Build;-100;-100;-100;-100;-100;-100;-100;0;-100;-100;-100;-100;-100;-0.6;-100;-100;-100;0;0;0;
Work_;-8.9;-5.3;-9;-4.1;-4.9;-5.2;-0.3;0;-0.1;-0.4;-0.4;-0.7;-0.5;-0.6;-0.3;-0.7;-100;0;0;-0.1;
Autom;-100;-5.3;-9;-4.1;-4.9;-5.2;-0.3;0;-0.1;-0.4;-0.4;-0.7;-0.5;-0.6;-0.3;-0.7;-100;0;0;-0.3;
Load_;-100;-5;-8.8;-3.9;-4.6;-4.9;-0.1;0.3;0.1;-0.1;-0.1;-0.4;-0.2;-0.3;-0.1;-0.7;0;-100; 0.2;-0.1;
PassT;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-0.7;-100;-100;0;-0.7;
Agri_;-100;-5.3;-9;-4.1;-4.9;-5.2;-0.3;0;-0.1;-0.4;-0.4;-0.7;-0.5;-0.6;-0.3;-0.7;0;0;0;-0.5;
Prope;-100;-5.3;-9;-4.1;-4.9;-5.2;-0.3;0;-0.1;-0.4;-0.4;-0.7;-0.5;-0.6;-0.3;-0.7;0;0;0;-0.6;
OthSe;-8.9;-5.3;-9;-4.1;-4.9;-5.2;-0.3;0;-0.1;-0.4;-0.4;-0.7;-0.5;-0.6;-0.3;-0.7;0;0;0;-0.3;
