CompT_run;pY;Y vol;pM;M vol;C vol;G vol;I vol;X vol;Ener Cost Share;Trade Intens;Import Penet Rate
Crude_oil;239.60192;863.14846;347.10648;41045.071;0;0;0;28;18.468654;68.937822;0.9863850
Natural_gas;228016.2;33.278871;252.31424;36376.912;11524.391;0;0;3336.2683;0.0299796;1.3072982;0.5727555
Coal;332.16201;3038.7462;164.55276;7336.906;27.941969;0;0;103.5648;197.14478;1.2270463;0.5524311
AllFuels;726.24492;38296.797;454.05869;34280.53;29613.347;0;0;16932;60.755328;0.9175464;0.4656943
Electricity;1067.1284;42925.259;1008.5722;1604.1531;13540.753;0;0;5279.7936;10.046426;0.1207681;0.0371842
HeatGeoSol_Th;777.87765;3287.2546;1027.4916;0;1171.9762;0;0;0;80.406386;0;0
Heavy_Industry;1039.1068;179253.66;1000;126070.36;34122.038;20445.753;133.03691;95226.837;6.9993988;1.3501734;0.6744755
Buildings_constr;1069.5141;51568.735;1000;3.162e-16;0;0;49687.378;0;0.2553231;0;0
Work_constr;1070.0669;221590.8;1000;3.073e-16;12396.411;0;145473;0;0.6356785;0;0
Automobile;22231.888;3037.7028;21043.918;2518.4133;2523.975;0;582.06404;1746.5156;0.5601167;1.4749384;0.7169532
Load_PipeTransp;222.19646;367501.45;176.45045;10963.653;4574.2015;20039.1;0;8041.4979;23.265372;0.0366089;0.0234384
PassTransp;98.130645;187214.54;87.518192;5513.3731;192727.92;0;0;0;10.374118;0.0262646;0.0255925
Agri_Food_industry;1075.882;205510.13;1000;43586.189;114398.71;158.24897;1185.1798;31857.621;3.6429056;0.4075565;0.199786
Property_business;84.079871;3998854.4;78.108601;2.693e-16;2737917;197326.78;109165.42;0;0.1672991;0;0
OthSectors;1073.2821;2688744.9;1000;336641.43;565655.45;510314.28;223109.3;318847.35;0.9200630;0.2274053;0.1159704
