IC_Q;Crude;Natur;Coal ;AllFu;Elect;HeatG;Heavy;Build;Work_;Autom;Load_;PassT;Agri_;Prope;OthSe;FC_Q;C;G;I;X
Crude;0;0;0;-8.9;0;0;0;0;0;0;0;0;0;0;0;Crude;0;0;0;0
Natur;-13.4;0;-13.5;-8.9;-9.6;-9.9;-5.3;-5;-5.1;-5.3;-5.3;-5.7;-5.5;-5.5;-5.3;Natur;-5;0;0;0
Coal ;0;0;-13.5;0;-9.6;-9.9;-5.3;0;-5.1;-5.3;0;0;-5.5;-5.5;-5.3;Coal ;-5;0;0;0
AllFu;0;0;0;0;-9.6;-9.9;-5.3;-5;-5.1;-5.3;-5.3;-5.7;-5.5;-5.5;-5.3;AllFu;-5;0;0;0
Elect;-13.4;-10;-13.5;-8.9;0;-9.9;-5.3;-5;-5.1;-5.3;-5.3;-5.7;-5.5;-5.5;-5.3;Elect;-5;0;0;0
HeatG;0;0;0;0;0;0;-5.3;0;-5.1;0;0;0;-5.5;-5.5;-5.3;HeatG;-5;0;0;0
Heavy;0;-5.3;-9;-4.1;-4.9;-5.2;-0.3;0;-0.1;-0.4;-0.4;-0.7;-0.5;-0.6;-0.3;Heavy;-0.7;0;0;0
Build;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.6;0;Build;0;0;0;0
Work_;-8.9;-5.3;-9;-4.1;-4.9;-5.2;-0.3;0;-0.1;-0.4;-0.4;-0.7;-0.5;-0.6;-0.3;Work_;-0.7;0;0;0
Autom;0;-5.3;-9;-4.1;-4.9;-5.2;-0.3;0;-0.1;-0.4;-0.4;-0.7;-0.5;-0.6;-0.3;Autom;-0.7;0;0;0
Load_;0;-5.3;-9;-4.1;-4.9;-5.2;-0.3;0;-0.1;-0.4;-0.4;-0.7;-0.5;-0.6;-0.3;Load_;-1;-0.3;0;0
PassT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;PassT;-0.7;0;0;0
Agri_;0;-5.3;-9;-4.1;-4.9;-5.2;-0.3;0;-0.1;-0.4;-0.4;-0.7;-0.5;-0.6;-0.3;Agri_;-0.7;0;0;0
Prope;0;-5.3;-9;-4.1;-4.9;-5.2;-0.3;0;-0.1;-0.4;-0.4;-0.7;-0.5;-0.6;-0.3;Prope;-0.7;0;0;0
OthSe;-8.9;-5.3;-9;-4.1;-4.9;-5.2;-0.3;0;-0.1;-0.4;-0.4;-0.7;-0.5;-0.6;-0.3;OthSe;-0.7;0;0;0
OthQ;Crude;Natur;Coal ;AllFu;Elect;HeatG;Heavy;Build;Work_;Autom;Load_;PassT;Agri_;Prope;OthSe;;;;;
Y;-8.9;-5.3;-9;-4.1;-4.9;-5.2;-0.3;0;-0.1;-0.4;-0.4;-0.7;-0.5;-0.6;-0.3;;;;;
M;-8.9;-5.3;-9;-4.1;-4.9;-52.2;-0.3;-41.3;-42;-0.4;-0.4;-0.7;-0.5;-45.4;-0.3;;;;;
Labour;-8.9;-5.3;-9;-4.1;-4.9;-5.2;-0.3;0;-0.1;-0.4;-0.4;-0.7;-0.5;-0.6;-0.3;;;;;
Capital_consumption;-8.9;-5.3;-9;-4.1;-4.9;-5.2;-0.3;0;-0.1;-0.4;-0.4;-0.7;-0.5;-0.6;-0.3;;;;;
;;;;;;;;;;;;;;;;;;;;
Units;0.01 ktoe / ktons;;;;;;;;;;;;;;;;;;;
