2018;Coal;COilFFuelExDies;NaturalGas;Allbiofuel;Diesel;Electricity;PlantedForest;Cattle;RestAgri;Cement;IronSteel;NonFerrousMetals;Chemical;BovineMeat;RestFoodBeve;PaperPulp;RestIndus;Transp;RestComp;C;G;I;X;Tot_uses;Y;M
Coal;72.89;0;0;0;0;3339.990711;0;0;0;99.58596518;11093.89632;812.8593105;176.0753489;8.045156194;37.30452207;87.07590366;449.7370216;0;0;0;0;0;0;16177.46026;1950.650109;14226.81015
COilFFuelExDies;0;51627.89802;12.30586186;0;39646.38457;3257.463925;1.793015594;4.867517633;28.46667773;2997.301761;290.6743473;1099.272422;2351.876772;72.33016487;335.3871779;334.4015687;1641.824848;7138.939282;694.1113675;25733.67886;0;0;68288.34595;205557.3241;187546.0742;18011.24992
NaturalGas;0;12868.68424;3634.819126;0;1646.273584;10930.80779;0;0;0;3.768390244;1172.168058;415.4490534;3181.795665;156.5763437;726.0276283;968.3460145;3367.084083;1750.094894;152.5483772;598.7609547;0;0;0;41573.2042;33635.12135;7938.082852
Allbiofuel;0;0;0;3238.508388;0;3529.858164;178.8640405;485.5640261;2839.721536;279.6604683;3133.349269;12.42239045;63.92476854;402.8713814;1868.071169;9641.399705;3074.495514;5351.165401;170.1117076;20581.63061;0;0;883.9349122;55735.55345;55660.24691;75.30654175
Diesel;0;0;0;0;0;1198.937394;224.9511021;610.6770401;3571.419316;50.62672704;31.22554504;10.60866971;605.4060035;38.25217129;177.371195;189.5864922;435.4203947;37249.2286;43.43866482;0;0;0;1232.707811;45669.85713;35633.19708;10036.66004
Electricity;0;1115.808246;75.07198;694.5252584;140.3398414;9356.238546;131.0064204;355.6444591;2079.913616;506.2863001;2163.174864;2139.23775;1948.776804;395.2039275;1832.518012;2057.631722;6233.31838;193.5488872;11595.39577;11714.64234;0;0;0.068329079;54728.35145;51720.09794;3008.253514
PlantedForest;2.074516381;4.032590095;0.081359414;119407.896;0;0.025860049;2606.743643;2135.916921;9388.557572;42.55093672;2348.579002;21.96291272;662.135365;974.3123024;2342.99564;74840.97985;16083.07052;8.571348327;3352.000984;0;0;0;0;0;257075.3149;0
Cattle;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8112.587549;0
RestAgri;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;343303.3682;0
Cement;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;59312.70769;0
IronSteel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52977.41791;0
NonFerrousMetals;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19395.01267;0
Chemical;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;268592.9563;0
BovineMeat;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12290.3616;0
RestFoodBeve;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;976858.7219;0
PaperPulp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37678.8689;0
RestIndus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1827351.748;0
Transp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;468379.6904;0
RestComp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5593193.696;0
1 ktoe / ktons;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
