;2030;2050
Crude_oil;0.0813869366431378;0.08725581642466299
Liquid_fuels;0.012505201754261399;0.013406962267269553
Gas_fuels;0.6250815335981869;0.6918174808226254
Solid_fuels;0.0035013441062382196;0.0012743776624799194
Elec_heating;0.14277957325075863;0.1641484217802421
Steel_Iron;0.05685443403838743;0.0681064258711899
NonFerrousMetals;0.03665558594525873;0.03918923776471719
Cement;0.08940005824751879;0.09793143373891952
OthMin;0.025490678567762996;0.025940686774133442
ChemicalPharma;0.047909529281443805;0.04666141826904237
Paper;0.045083679992308764;0.046474771423900385
Auto_indus;0.07375616537425923;0.08150737452773184
OthEquip;0.029011218588553815;0.02980914671664346
Electronics;0.18140774026705908;0.18639720109134092
Food_industry;0.04621131279637295;0.04680843200476597
OthManuf;0.041558181241388416;0.04277316158379686
LandTransp;0.08335247857918904;0.08626893476808246
NavalTransp;0.1090385207996251;0.11122930344067306
AirTransp;0.1314182085802858;0.1263677343079643
AgriForest_Fish;0.16461869264284146;0.1572613049868321
Construction;0.03716173704438607;0.040038326108674596
Property_business;0.24847457621377161;0.25906464816881564
Compo;0.11162039423659885;0.11472955536167988
