;Crude_oil;Liquid_fuels;Gas_fuels;Solid_fuels;Elec_heating;Steel_Iron;NonFerrousMetals;Cement;OthMin;ChemicalPharma;Paper;Auto_indus;OthEquip;Electronics;Food_industry;OthManuf;LandTransp;NavalTransp;AirTransp;AgriForest_Fish;Construction;Property_business;Compo;C;G;I;X;Tot_uses;Y;M
Crude_oil;0.0;28582.90909539796;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;581.6907107531043;47578.10031893462
Liquid_fuels;78.67058566859036;0.0;1693.112730267383;323.76676805251185;1781.3095795578163;1171.86729561404;741.0671315414278;162.3100651223956;301.36002345982166;2224.748854585421;25.51002073701081;252.97075197914265;262.0004212402242;116.17325241948338;456.9699562272308;953.9880892386988;10393.537977305405;4098.002853625642;11511.471462334053;3767.6392502085127;810.3240557659028;22.3385106133949;7281.7037609840145;13973.876680365353;0.0;0.0;20251.231;0;33946.56074319245;40937.16915275721
Gas_fuels;20.487321339937562;899.2613673675396;0.0;0.0;5395.958134110375;187.34108935436774;182.77321742689088;851.0032716647813;609.682207372407;2790.2794520777657;854.9210581153534;355.1707719694321;162.49794330062426;72.05299325607359;3140.3032343008063;591.2444416202253;1256.3758343894;9.712241130397363;4.901501852451255;246.46012502828827;619.8266978288127;944.4614720800487;6944.425196421524;7633.994225317093;0.0;0.0;5319.473;0;990.4522375636516;36037.115
Solid_fuels;0.0;14.52573334201205;0.0;7110.583437971691;2859.158773698144;3298.903370803348;0.0;76.73801035320396;182.58112643720415;269.95527281116904;13.531915269077393;21.046719857281083;7.610535442705105;3.374577227195179;388.36852838748075;27.739625893088185;0.0;0.0;0.0;2.7803995143893676;124.2573445624956;0.0;249.77702609570522;19.257817071377744;0.0;0.0;33.236;0;5788.4749262959585;8160.8704
Elec_heating;18.246183369548;211.99287718516254;1147.0310489860615;8.138595746372117;1118.655636272105;230.13374446480597;946.1155042683599;696.1622425809286;433.8073276449348;4069.2936566307376;950.850147333077;768.7939180782689;517.4860454660379;229.45778750624586;3017.914390835691;1856.4377536327156;1960.429860559087;0.0;0.0;987.7305062136791;1059.6156323824046;629.9590699749409;22439.25158488858;20150.200738369025;0.0;0.0;1600.926509433452;0;67526.79485649036;1564.903778065272
Steel_Iron;0.0;51.95860587353037;2.1378757884405295;0.0;19.289590922180732;1019.4295815450207;1182.5685432521434;17.565781136725125;529.2479090358319;210.75884303229006;18.281411983236502;2685.0878579357645;1961.4442343993633;308.3245673036455;12.548196719739526;4852.526103559047;9.683545186635495;6.942316027161826;0.0;10.775112318273843;6272.828313756771;0.0;1133.3277859355069;0.0;0.0;66.700926;25743.7009933299;0;23857.378925645717;23711.335728196376
NonFerrousMetals;0.0;78.96309494473996;3.2319446963939518;0.0;35.97827629953807;7583.877251954094;1866.9812402923694;13.373225558932187;919.24165177996;509.3167266254299;39.85370601043197;11304.200882532208;3491.533738150445;548.8432565930084;18.88335422938355;8607.49318493947;15.501689501096767;9.662577940237973;0.0;22.981739736124617;1890.8816125790881;0.0;10036.20286259308;305.0500372959302;0.0;114.50495;16228.364045820426;0;30567.914910157768;24716.3675800074
Cement;0.0;2.5256241192935187;2.706410739142678;0.0;24.5438862286858;37.32005753132903;9.060412198532594;1068.2954635502313;1136.5270812156289;113.77312457848389;44.67783390335198;137.89429556033025;103.13914795181297;79.32750411655708;39.23205537259825;422.07377152868975;17.085682616907512;1.9658565571285544;0.0;43.37466427929235;2635.825411479051;13.784347896667603;204.14814263549115;460.53945722383315;0.0;0.0;554.997538205287;0;5962.360135219467;734.6012314254624
OthMin;0.0;17.322929947251108;18.56771096193451;2.3582246849729733;206.67926101726005;251.970655215772;68.27860024253773;451.06937711934097;1597.7507702640378;1758.1385818140336;224.9436656627843;2681.151459381416;813.1386142934088;625.4299750564066;1079.9129033320064;3221.842502248302;123.28612884800769;15.169717076372217;3.1692658495853947;925.4826695540587;17319.792499248557;195.203232552833;9093.47639252017;3062.1655377869993;0.0;0.0;7269.780604332563;0;30590.789383798972;10247.56
ChemicalPharma;0.0;544.2821816759762;270.1060493538435;0.0;2436.8926445828843;108.66129151035462;819.1592761644873;45.79192416569802;992.0673473273465;29044.997274255296;1987.6748617157916;1507.5752097676336;1480.418405893647;251.57358946063349;1406.039656486978;13284.04855708668;49.294382093642504;80.08485050040522;25.50583957769884;7778.360630766133;2867.522045636965;37.90536492556554;16028.999206665894;33721.8630519839;19544.857;0.0;126064.83733011462;0;128937.52227417435;95631.598
Paper;0.0;24.567126009848376;2.776789207318415;0.0;25.05005917400996;4.332500012897262;32.22763466588437;28.597193913539872;599.7360680919812;2044.3296081695933;9508.515910447019;194.80368391969736;404.5869492871534;230.7305035530953;2137.766946556765;4904.333587911592;70.03608778792133;62.598045738131724;2.410077982243221;212.05556744012185;602.6182401299886;264.49234931934734;14739.791023850414;4794.025310189974;0.0;0.0;11562.282888110205;0;24909.94956157038;19154.662175423997
Auto_indus;0.0;18.242881743391624;2.2143422849387036;0.0;19.977325911880683;7.492519640691337;58.456318861689425;4.952600961547259;99.8655569113164;75.29025294280844;34.66412951107489;41746.61789506721;619.5958655337976;26.122070302102053;88.17059099420298;1422.61134517938;411.71948751534364;1270.886048294329;1304.1196439583623;241.89205569582242;182.10141006815053;16.89906758658584;22372.64077572627;52107.587679663986;187.19503391528448;45777.6673596542;161925.1004572139;0;178513.3151592967;151768.08931020967
OthEquip;0.0;156.3544641270701;73.20302955508835;0.0;628.7493328668422;392.62372916935357;747.7437215364653;71.05606700814097;490.5599140171612;877.8227917199073;590.2975284920142;9110.08640007654;9284.717261368958;2437.6062536178047;823.7612120259308;9119.852102093784;330.02328218076576;80.39391032832614;60.62568860277594;1996.9475530554018;9845.302373951099;93.6587226717312;13461.88549263073;13200.204712556746;0.0;23968.294641821132;50702.57817421624;0;81089.9204216794;68801.0483225734
Electronics;0.0;55.61804512164651;26.589531418133163;0.0;294.51012906158786;112.69446992023349;214.62427274329931;25.662182949814447;177.16767605377478;212.16406757748297;191.00567373465415;6989.19400507261;4096.336804670825;4248.565616519854;92.37356037617916;2179.7718507334394;25.08336520654657;36.649308331404946;6.934289287827004;0.0;2357.034341879381;42.2988928903493;14089.408126166076;23225.88009896999;281.6221605315301;11533.054959936466;35041.015816509316;0;35955.97193786984;70540.37791178476
Food_industry;0.0;33.78022259555081;4.109080748600223;0.0;32.3345481597149;13.861252356502012;126.02468899448378;5.385684089393859;94.1197679757836;2702.9218684875223;413.35118519585717;120.76460800379843;119.20838703603745;21.04071409261533;28607.453779850595;3370.2932163816117;22.555539618546828;106.0907059003373;218.21658070239494;7378.038203573057;473.5283371307749;173.23147112835724;36461.29439474373;118704.7265153607;160.74755;0.0;40493.870668625976;0;183991.15424838013;55813.791094977394
OthManuf;0.0;497.73805224098504;73.27382080354532;0.0;699.8171155150336;1011.4159060485888;1930.596067222666;188.67530795732182;1334.452142351366;6098.08059247901;3948.869624655481;19882.69497679742;10404.32974300906;3033.473043545781;5496.761838066755;48602.31653852092;971.0212142811882;231.80943928710406;1464.6413677197443;2126.2965461972353;23404.623819533266;578.3065333463243;48816.46880905569;128728.16357018563;2848.36573620236;31963.104116159117;72393.530294886;0;294176.0449258925;122485.57464640656
LandTransp;0.0;107.95685247550064;6.8141938545838405;0.0;61.48128517815569;8.983838085289642;68.34680900351495;12.117239717207449;266.6949591680949;438.5412177163932;95.69170833760488;100.11515919063844;94.3896504080869;66.00704560085401;364.9806562619069;408.00323144031177;24526.61270061609;109.39546053424895;116.44676850045525;160.46626516320322;453.2523983384823;169.54092162865751;56773.509997093184;32131.803462054395;5233.689;0.0;3259.3832925934685;0;123617.93860523736;4354.755603035015
NavalTransp;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.483912580099226;3999.013679610146;0.0;0.0;0.0;0.0;224.576762500062;645.4753782225916;0.0;0.0;39512.208274111195;0;33632.36317521049;0.0
AirTransp;0.0;26.101510555440676;1.9706164201319467;0.0;17.776606768402136;3.153477704672085;26.985502483148775;3.385375330669843;74.34864216862412;137.35981597506557;20.020668096551354;61.36147189737162;32.50168767037171;12.474608635123053;81.8566984508739;139.05795056257213;50.01886617348289;67.78131530548599;2411.046948738542;8.288289682497243;117.76433310718816;70.19713214929295;5314.204413156017;12490.088159513163;5.5922676;0.0;21250.176278176677;0;31652.928836330233;10328.62704998794
AgriForest_Fish;0.0;0.0;1.4455650407241496;0.0;13.110979795553252;0.0;0.0;0.0;0.0;74.08978254245328;194.7412303606543;0.0;0.0;0.0;42595.90291517219;4109.155851565888;0.0;0.0;0.0;18118.98050665601;651.3162427180878;0.0;2789.836227230322;35938.03019665132;0.0;2112.3783722739245;24809.207218614534;0;108609.35603083468;20519.461773253926
Construction;7.304115747713506;496.4718455252639;348.78459789290787;0.0;2345.8090227654457;184.30165939950518;130.7572165131543;23.72341121366651;361.8639811566924;519.4943297339454;244.88682943223623;1013.2438951535091;1363.146997348813;223.90410738220618;383.8217466001842;1554.1028124623233;259.17082541305086;407.6670576415064;183.13219904858443;455.6319485734052;55214.871092957335;6236.3503048499015;27219.077013952094;8667.33813019171;0.0;245759.32;0.0;0;400959.48551950825;0.0
Property_business;0.0;96284.27357232114;38.67850611259612;0.0;194.8325709731407;558.0917304149019;182.54812391725554;78.15915837742308;1186.7756803505329;1281.1713261106677;407.4749276576621;903.9595557952337;504.4060104315143;167.40900295262193;785.2646801705278;1490.5147985681729;1441.9114893059507;572.3882633093093;358.12203218663916;27.758910033193366;2504.346170501185;15134.295138932444;86694.43085320368;307687.426653757;22971.252688285702;15424.21784163937;0.0;0;454877.07686605275;0.0
