2020;PrimEnergy;FinEnHTr;FinEnHRes;AllComp;C;G;I;X;Tot_uses;Y;M
PrimEnergy;0;36534.691;9399.865;0;0;0;0;0;0;0;44999.742
FinEnHTr;126.4286;0;536.96027;37374.911;23471.203;0;0;8723.827;0;0;30265.365
FinEnHRes;62.2472;1507.1075;14044.758;53075.74;28611.054;0;0;23460.877;0;0;53712.302
AllComp;0;0;0;0;0;0;0;0;0;0;0
ktoe;0;0;0;0;0;0;0;0;0;0;0
