Households_Gourps;L1;L2;L3;L4;L5
GOS_byAgent;0.24776237085534;0.171336808370225;0.106740385963575;0.28744941685228;0.186711017958585
NetCompWages_byAgent;0.227165422765223;0.149522471806117;0.108814796659165;0.273114136803105;0.241383171966387
Property_income;0.281956381979683;0.177391724012171;0.100344744960822;0.271268875886105;0.169038273161219
Unemployment_transfers;0.199190772380868;0.159959676216055;0.144251835795734;0.312481282698145;0.184116432909197
Pensions;0.236841885014931;0.176807792774903;0.138044253672426;0.295811901634152;0.15249416690359
Other_social_transfers;0.206090210053289;0.150491822005389;0.136151302947893;0.342792213052791;0.16447445194064
ClimPolicyCompens;0;0;0;0;0
Other_Transfers;0.240138156368558;0.173145995392444;0.128498036013267;0.297531367366463;0.160686444859267
Income_Tax;0.155035214868047;0.112087993846624;0.0997676032699176;0.275590645993279;0.357518542022133
Other_Direct_Tax;0.196857651382746;0.166105177221517;0.122903660636495;0.324715343699819;0.189418167059422
FC_byAgent;0.226295949980142;0.158184339065558;0.118752163907117;0.300122900125142;0.196644646922036
GFCF_byAgent;0.244373165502208;0.166905672343073;0.085029548058008;0.29720508648277;0.20648652761394
NetFinancialDebt;0.281956381979683;0.177391724012171;0.100344744960822;0.271268875886105;0.169038273161219
