;L1;L2;L3;L4;L5
Crude_oil;0;0;0;0;0
Natural_gas;0.294182334175179;0.177700350285689;0.121394035759924;0.267602355435642;0.139120924343567
Crude_coal;0.294182334175179;0.177700350285689;0.121394035759924;0.267602355435642;0.139120924343567
Coke;0.294182334175179;0.177700350285689;0.121394035759924;0.267602355435642;0.139120924343567
Gasoline;0.309843389383138;0.190738657875278;0.120682340193107;0.267357124083827;0.111378488464651
LPG;0.309843389383138;0.190738657875278;0.120682340193107;0.267357124083827;0.111378488464651
Jetfuel;0.309843389383138;0.190738657875278;0.120682340193107;0.267357124083827;0.111378488464651
Road_diesel;0.309843389383138;0.190738657875278;0.120682340193107;0.267357124083827;0.111378488464651
Heating_oil;0.294182334175179;0.177700350285689;0.121394035759924;0.267602355435642;0.139120924343567
Other_fuels;0.294182334175179;0.177700350285689;0.121394035759924;0.267602355435642;0.139120924343567
Electricity;0.294182334175179;0.177700350285689;0.121394035759924;0.267602355435642;0.139120924343567
HeatGeoSol_Th;0.294182334175179;0.177700350285689;0.121394035759924;0.267602355435642;0.139120924343567
Steel_Iron;0.218238356980263;0.155415338707278;0.118508644750892;0.303598052914816;0.204239606646745
NonFerrousMetals;0.218238356980263;0.155415338707278;0.118508644750892;0.303598052914816;0.204239606646745
Cement;0.218238356980263;0.155415338707278;0.118508644750892;0.303598052914816;0.204239606646745
OthMin;0.218238356980263;0.155415338707278;0.118508644750892;0.303598052914816;0.204239606646745
Construction;0.218238356980263;0.155415338707278;0.118508644750892;0.303598052914816;0.204239606646745
CivilEngineering;0.218238356980263;0.155415338707278;0.118508644750892;0.303598052914816;0.204239606646745
ChemicalPharma;0.218238356980263;0.155415338707278;0.118508644750892;0.303598052914816;0.204239606646745
Paper;0.218238356980263;0.155415338707278;0.118508644750892;0.303598052914816;0.204239606646745
Mining;0.218238356980263;0.155415338707278;0.118508644750892;0.303598052914816;0.204239606646745
Automobile;0.218238356980263;0.155415338707278;0.118508644750892;0.303598052914816;0.204239606646745
OthTranspEquip;0.218238356980263;0.155415338707278;0.118508644750892;0.303598052914816;0.204239606646745
OthEquip;0.218238356980263;0.155415338707278;0.118508644750892;0.303598052914816;0.204239606646745
Electronics;0.218238356980263;0.155415338707278;0.118508644750892;0.303598052914816;0.204239606646745
Food_industry;0.218238356980263;0.155415338707278;0.118508644750892;0.303598052914816;0.204239606646745
OthManuf;0.218238356980263;0.155415338707278;0.118508644750892;0.303598052914816;0.204239606646745
LandTransp;0.218238356980263;0.155415338707278;0.118508644750892;0.303598052914816;0.204239606646745
NavalTransp;0.218238356980263;0.155415338707278;0.118508644750892;0.303598052914816;0.204239606646745
AirTransp;0.218238356980263;0.155415338707278;0.118508644750892;0.303598052914816;0.204239606646745
Agri_Forestry;0.218238356980263;0.155415338707278;0.118508644750892;0.303598052914816;0.204239606646745
Fishing;0.218238356980263;0.155415338707278;0.118508644750892;0.303598052914816;0.204239606646745
Property_business;0.218238356980263;0.155415338707278;0.118508644750892;0.303598052914816;0.204239606646745
Comp;0.218238356980263;0.155415338707278;0.118508644750892;0.303598052914816;0.204239606646745
