IC_value;Crude;Natur;Coal ;AllFu;Elect;HeatG;Heavy;Build;Work_;Autom;Load_;PassT;Agri_;Prope;OthSe;C;G;I;X;Uses;
Crude;-100;-100;-100;-0.7;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-104.5;-100;-100;0;-0.7;
Natur;42.8;-100;41.5;50.3;49.4;48.7;53.2;45.4;51.5;46.7;45;42;43.3;45.1;46.6; 29.3;-100;-100;-0.2;37.2;
Coal ;-100;-100;205.4;-100;325.1;270.3;210.7;-100;239;186.2;-100;-100;271.9;224.7;269.7; 240.5; 1005497.1; 1562; 81.3;232.8;
AllFu;-100;-100;-100;-100;51.1;38.7;29.9;30.6;29.4;21.1;23.4;20.8;31.5;23.9;27.4; 18.4;-100;-100; 1.1;18.8;
Elect;-8.9;-5.3;-9.7;-4.1;-100;-5.1;-2.1;5.7;4.7;1.4;0.1;-1.9;-0.5;0.3;1.3;-0.2;-100;-100; 5.2;0.3;
HeatG;-100;-100;-100;-100;-100;-100;9.1;-100;16.6;-100;-100;-100;10.8;11.7;12.8; 11.1;-100;-100;0;11.2;
Heavy;-100;-4;-8.5;-2.8;-3.4;-3.8;-0.8;7.1;6.1;2.7;1.5;-0.6;0.8;1.6;2.6;-0.3;-0.7; 5;-0.6;0.7;
Build;-100;-100;-100;-100;-100;-100;-100;5;-100;-100;-100;-100;-100;-0.4;-100;-100;-100; 5;0;5;
Work_;-9.5;-6;-10.4;-4.8;-5.4;-5.8;-2.8;4.9;3.9;0.6;-0.6;-2.6;-1.3;-0.5;0.5;-0.3;-100; 5;0;4;
Autom;-100;-5.4;-9.8;-4.2;-4.8;-5.3;-2.2;5.5;4.5;1.2;0;-2;-0.7;0.1;1.1;-0.3;-100; 5; 0.8;1;
Load_;-100;2.7;-2.1;3.9;3.3;2.8;6.1;14.5;13.4;9.8;8.5;6.3;7.8;8.7;9.7;-0.3;-0.7;-100; 7.3;8.3;
PassT;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-100;-0.3;-100;-100;0;-0.3;
Agri_;-100;-4.8;-9.2;-3.6;-4.2;-4.6;-1.6;6.2;5.2;1.9;0.7;-1.4;0;0.8;1.8;-0.3;-0.7; 5;-0.1;0.1;
Prope;-100;-5.4;-9.9;-4.3;-4.9;-5.3;-2.3;5.5;4.5;1.2;0;-2.1;-0.7;0.1;1.1;-0.3;-0.7; 5;0;0.1;
OthSe;-9.4;-5.8;-10.3;-4.7;-5.3;-5.7;-2.7;5;4;0.7;-0.5;-2.5;-1.2;-0.4;0.6;-0.3;-0.7; 5; 0.3;0.5;
