Economic Table;Corporations;Government;Households;RestOfWorld
Trade_Balance;0;0;0;-3.3
GOS_byAgent; 0.7; 0.7; 0.7;0
NetCompWages_byAgent;0;0; 1.7;0
InsuranceContrib_byAgent;0;-5.7;0;0
Production_Tax_byAgent;0; 0.6;0;0
Energ_Tax_byAgent;0;-5;0;0
Carbon_Tax_byAgent;0; 1.348e+25;0;0
OtherIndirTax_byAgent;0; 1.4;0;0
VA_Tax_byAgent;0; 2;0;0
Property_income;0;0;0;0
Unemployment_transfers;0;-5.1;-5.1;0
Pensions;0;0;0;0
Other_social_transfers;0;0;0;0
ClimPolicyCompens;0;0;0;0
Other_Transfers; 1.3; 1.3; 1.3; 1.3
Income_Tax;0;-0.1;-0.1;0
Corporate_Tax;-1.6;-1.6;0;0
Other_Direct_Tax;0;-0.3;-0.3;0
Disposable_Income; 0.5; 3.5; 0.6;-4.2
FC_byAgent;0;-0.7; 0.6;0
GFCF_byAgent; 8.5;-0.8; 0.6;0
Tot_FC_byAgent; 8.5;-0.7; 0.6;0
NetLending; 200;-24.4; 0.6;-4.2
NetFinancialDebt;0;0;0;0
;;;;
Units;0.01 k€;;;
