CompT%;pY;Y vol;pM;M vol;C vol;G vol;I vol;X vol;Ener Cost Share;Trade Intens;Import Penet Rate
Crude_oil;-0.5826761;-8.682924;0;-8.682924;Nan;Nan;Nan;0;0.1227454;0.5922949;0.0144319
Natural_gas;-0.4618881;-5.0630312;0;-5.0630312;-4.995991;Nan;Nan;0;0.0000796;0.8291564;0.4436828
Coal;178.49038;-9.5112772;0;-9.5112772;-4.995991;Nan;Nan;0;14.72866;-63.263988;-44.759957
AllFuels;1.7678455;-3.8970084;0;-3.8970084;-4.995991;Nan;Nan;0;0.9139431;0.2177961;0.0231820
Electricity;5.3433152;-4.5019783;0;-4.5019783;-4.995991;Nan;Nan;0;5.2591365;1.6235889;-4.5242394
HeatGeoSol_Th;17.1597;-4.9349123;0;-52.033429;-4.995991;Nan;Nan;Nan;5.0206039;-99.966899;-99.966899
Heavy_Industry;2.0232306;-1.9027441;0;1.5766074;-1.4728825;-1.7978451;3.807811;-1.7063375;2.1017268;0.4258059;0.0531864
Buildings_constr;-0.8260931;5.8749816;0;-37.802953;Nan;Nan;5.8753169;Nan;0.0476277;-99.997397;-99.997397
Work_constr;-0.9390069;4.8917779;0;-39.0715;0.603208;Nan;5.9951723;Nan;0.1008646;-99.999411;-99.999411
Automobile;-0.6155306;1.5718684;0;0.5340464;-0.0005064;Nan;5.3574129;1.1443539;0.0762059;-0.2820086;-0.2028941
Load_PipeTransp;4.4316737;0.3513419;0;0.3513419;-7.8425675;-8.1465217;Nan;0;3.3595711;-1.9085849;-4.1190235
PassTransp;1.3403718;-1.7119636;0;-1.7119636;-1.7119636;Nan;Nan;Nan;1.1567845;-1.3226434;-1.2892301
Agri_Food_industry;0.3679808;-0.3454027;0;0.3857154;-0.6356859;-0.9634099;4.6898782;-0.3664051;0.7749271;0.1306664;0.2724340
Property_business;-0.3945912;0.4739502;0;-44.786677;0.0575223;-0.2724880;5.4202398;Nan;0.0183228;-99.999972;-99.999972
OthSectors;-0.9478498;1.4723695;0;-0.1530130;0.4887615;0.1573289;5.8745919;1.1522929;0.1012036;-0.4376976;-0.6062207
