,Coal,CrudeOil,NaturalGas,OthFossFuel,OthBiofuel,Diesel,Biodiesel,Gasoline,Ethanol,Electricity,PlantedForest,SugarCane,Soy,RestAgri,Cattle,RestLivestoock,Cement,IronSteel,MiningPellet,NonFerrousMetals,Chemical,BovineMeat,RestFoodBeve,Textiles,PaperPulp,Ceramics,Construction,OthIndustry,FreightRoad,FreightRail,FreightAir,FreightWater,PassRoad,PassRail,PassAir,PassWater,WaterSewage,Education,Health,Composite,C_H1,C_H2,C_H3,C_H4,C_H5,C_H6,C_H7,C_H8,C_H9,C_H10,G,I,X,Tot_uses,Y,M
Coal,12.02,0,0,0,0,0,0,0,0,4455.3656,0,0,0,0,0,0,139.95486,10342.205,477.5721,934.69069,171.86501,11.521548,53.424177,0,85.86901,62.259736,47.009753,121.29675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16915.055,2644.6314,14270.423
CrudeOil,0,0,0,34020.802,0,45067.114,0,22753.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38110.815,139951.74,124743.7,15208.036
NaturalGas,0,12095.215,4636.1283,1522.0128,0,2016.1995,773.0712,1017.9175,0,16411.439,0,0,0,0,0,0,11.648918,1229.2129,657.25628,592.63529,2222.311,147.86615,685.63939,214.83294,804.84862,1324.0055,574.47043,1482.2753,0,0,0,0,1397.4796,0,0,0,3.4747792,19.910918,20.015545,114.10381,35.859936,45.005786,46.417716,46.979679,47.147286,47.026216,46.052778,46.8413,49.781809,55.727137,0,0,0,50440.811,34702.759,15738.052
OthFossFuel,0,47.429493,11.849296,1552.0904,0,1797.477,0,842.87253,0,5552.7337,0.7993012,1.3762859,3.2278283,7.0495409,2.1698712,1.036391,3605.9304,230.76788,720.04612,1781.7556,2456.3542,76.182095,353.24816,55.806805,412.98038,493.52513,191.64578,494.49334,0,0,481.75491,724.35505,0,0,3102.0663,0,21.347277,122.32256,122.96533,423.6926,561.8219,642.4795,656.38598,667.51116,670.29247,686.98024,689.76154,692.54283,689.76154,600.76005,0,0,10730.87,42980.518,37268.69,5711.7734
OthBiofuel,0,0,0,0,3647.0774,0,0,0,0,2927.1445,144.03852,248.01437,581.67259,1270.3664,391.02283,186.76341,307.6672,3443.2425,0,10.60409,66.12575,387.02349,1794.5862,61.8016,8354.2406,2370.9987,246.65934,636.44186,0,0,0,0,0,0,0,0,0,0,0,182.47252,1867.939,1245.2823,990.78619,619.49811,625.19186,476.65067,382.65003,285.94655,197.60794,115.93514,0,0,0,34065.452,34065.452,0
Diesel,0,1329.0358,0.0022595,658.12167,0,3.8107692,0.2855706,1.9208548,0,2430.8243,301.90681,519.84168,1219.1941,2662.7062,819.58947,391.45879,55.795075,32.890889,368.9262,9.6102622,16.922617,39.615395,183.69232,2.1513628,162.01027,22.359862,42.07051,108.55228,27574.978,907.61521,0,179.6935,7980.5978,0,0,60.585922,0.1965071,1.1260103,1.1319272,3.8971696,0,0,0,0,0,0,0,0,0,0,0,0,651.31542,48744.433,42451.286,6293.1469
Biodiesel,0,0,0,0,0,0,0,0,0,0,21.113158,36.353931,85.261533,186.21023,57.316103,27.37577,3.9019002,1.8917579,25.800005,0,1.1834442,2.7704115,12.846099,0.1504506,11.329816,1.5636855,3.2438886,8.3700319,1928.3926,63.471981,0,0,558.10474,0,0,0,0.0137423,0.0787449,0.0791587,0.2725396,0,0,0,0,0,0,0,0,0,0,0,0,0,3037.0958,3037.0958,0
Gasoline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2790.5979,0,0,0,0,0,0,0,278.65702,437.90896,547.43987,750.48956,1042.8767,1360.5901,2024.1847,2673.6221,4173.8596,7174.756,0,0,469.30142,23724.284,21464.014,2260.2704
Ethanol,0,0,0,0,0,0,0,0,0,0,0.6500474,1.1192915,2.6250945,5.733177,1.7646902,0.8428653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1694.0381,0,0,0,0,0,0,0,88.304261,215.59835,215.94778,255.42307,394.33382,623.14039,929.03496,2045.2906,2836.0156,6103.2194,0,0,1105.6363,16518.718,15228.466,1290.252
Electricity,0,903.52917,61.27614,154.63945,44.002323,166.60318,12.484873,83.977932,590.65818,8555.1853,117.57485,202.44759,474.80401,1036.9666,319.18163,152.45005,611.41895,2132.789,1095.5662,2315.3298,1939.9022,397.82164,1844.6561,559.93615,1864.4134,338.7784,1094.1936,2823.2891,0,0,0,0,0,176.70549,0,0,299.04758,1713.5799,1722.5843,7862.3866,459.54235,610.48622,740.62037,825.74797,936.93233,1055.1531,1199.8791,1424.2828,1704.8756,2307.9055,0,0,18.8683,52952.473,49973.98,2978.4937
PlantedForest,2.8155706,2.3059329,0.0822156,1.6597373,115464.43,0,0.7492580,0,16.272016,0.0259241,2611.8716,668.87919,1457.9552,2718.5888,2141.8359,4578.0572,52.295548,2419.0718,60.462241,18.69303,656.33886,671.63314,1614.714,278.15164,78165,144.11795,2226.8366,14080.769,7.3720887,0.2198637,0.0001201,0.2207776,0.1606130,0.0055174,0.0004430,0.0001822,0.1807824,26.997625,0.0667603,3309.905,0,0,0,0,0,0,0,0,0,26826.391,0,3820.9409,5344.7331,269390.81,257595.42,11795.382
SugarCane,0,0,0,0,10.55874,0,0,0,356008.09,0,63.669325,1578.6441,3274.9318,5075.3722,1112.3979,1219.3187,0,0,8.5609138,0,47457.346,13.31074,231622.48,62.316364,0,0,29.6773,4357.9632,0,0,0,0,0,0,0,0,0,0,0,78285.772,861.32988,1281.459,1458.2041,1465.9833,1738.1369,1933.586,2170.3883,2418.8052,2823.6744,3958.2948,0,0,0,750290.28,750290.28,0
Soy,0.2543071,17.242452,0.6104229,9.1767931,0.9457697,0,401.5954,0,0,0,5.7030024,309.90299,637.9624,994.42146,97.169735,99.083972,1.111406,0,13.059228,9.9700303,502.71381,424.24585,23286.384,18.844961,9.95002,0,3.8816287,1891.4537,56.49807,1.6849869,0,1.6702305,0,0,0,0,0,0,0,4911.9715,3.3682399,5.0111594,5.7023228,5.7327438,6.7970034,7.5613092,8.4873272,9.4587641,11.042009,15.478955,0,0,64051.23,97837.378,97464.936,372.44203
RestAgri,0.1061583,2.6256756,0.1013504,1.4079237,19.557952,0,25.395916,0,551.53596,0.3751222,117.93468,617.69863,1320.0853,2091.0121,1424.486,1611.5609,2.4472843,59.002825,14.323769,1.9390784,418.143,384.86703,25931.781,2460.8253,326.46161,4.8462981,83.992586,731.81976,8.609337,0.2567631,0.0017384,0.2956010,2.3240737,0.0798369,0.0064106,0.0026366,32.682433,429.18002,380.90643,5807.4236,3154.3963,4693.0098,5340.2925,5368.7821,6365.4738,7081.2552,7948.482,8858.244,10340.972,14496.223,60.935969,396.0838,38448.488,157418.74,148983.34,8435.4007
Cattle,0,0,0.0001304,0,0.3234532,0,0.0024536,0,0.0532852,0.0058275,1.9504267,7.7746906,19.316242,32.535164,87.301469,94.556789,0.0001705,0,0.5624402,0,0.8202012,3386.1518,2533.8793,0.9071888,0,0,1.3931248,2.6419541,0,0,0.000027,0.0006383,0.0361042,0.0012403,0.0000996,0.000041,0.0406381,7.7387864,14.667507,29.637541,6.9699438,8.9956612,9.489433,9.993468,11.583144,12.188461,13.290522,15.76825,17.190017,18.810627,0.1212483,1643.1572,149.98417,8139.8409,8129.0024,10.838477
RestLivestoock,0.0001469,0.0099571,0.0015268,0.0052994,37.209108,0,0.6852227,0,14.881329,0.0524678,224.37136,34.444041,113.87239,242.64779,1102.3937,1371.3328,0.0504050,0,7.4978756,0.0057575,18.328897,16889.315,13585.067,9.3608989,0.0057459,0,17.829776,16.089731,0.0326264,0.0009730,0.0002431,0.0067112,0.3250648,0.0111667,0.0008966,0.0003688,0.3658858,127.1986,95.775091,2558.8211,2020.2371,2498.6914,2548.8468,2538.4829,2814.0889,2895.2569,3075.4078,3357.8151,3847.7014,4420.0081,8.4082834,915.58125,1188.9666,68597.49,67307.708,1289.7823
Cement,0.0794242,132.66383,41.979401,3.0740106,3.435743,0,0.0006760,0,0.0146801,1665.8619,20.717571,36.533542,82.582899,136.19022,199.29014,229.96757,4651.4957,4.8959192,182.61359,3.5679162,230.11307,1.8844114,11.020923,51.023735,17.991184,12385.457,31939.116,6147.9642,0.1877555,0.0055996,0.0005186,0.0178070,0.6932934,0.0238161,0.0019123,0.0007865,549.85865,71.604158,10.401877,15402.617,0,0,0,0,0,0,0,0,0,0,0,0,229.99981,74444.949,72741.955,1702.9937
