,Coal,CrudeOil,NaturalGas,OthFossFuel,OthBiofuel,Diesel,Biodiesel,Gasoline,Ethanol,Electricity,PlantedForest,SugarCane,Soy,RestAgri,Cattle,RestLivestoock,Cement,IronSteel,MiningPellet,NonFerrousMetals,Chemical,BovineMeat,RestFoodBeve,Textiles,PaperPulp,Ceramics,Construction,OthIndustry,FreightRoad,FreightRail,FreightAir,FreightWater,PassRoad,PassRail,PassAir,PassWater,WaterSewage,Education,Health,Composite,C_H1,C_H2,C_H3,C_H4,C_H5,C_H6,C_H7,C_H8,C_H9,C_H10,G,I,X,Tot_uses,Y,M
Coal,524.70226,463.35436,463.35436,463.35436,463.35436,463.35436,463.35436,463.35436,463.35436,502.25514,463.35436,463.35436,463.35436,463.35436,463.35436,463.35436,515.84336,434.68207,522.45588,520.0238,524.70226,524.70226,524.70226,463.35436,524.70226,524.70226,524.70226,524.70226,463.35436,463.35436,463.35436,463.35436,463.35436,463.35436,463.35436,463.35436,463.35436,463.35436,463.35436,463.35436,463.35436,463.35436,463.35436,463.35436,463.35436,463.35436,463.35436,463.35436,463.35436,463.35436,463.35436,463.35436,457.28712,463.35436,464.53549,549.22438
CrudeOil,1044.0019,1044.0019,1044.0019,1041.0572,1044.0019,1041.0572,1044.0019,1041.0572,1044.0019,1044.0019,1044.0019,1044.0019,1044.0019,1044.0019,1044.0019,1044.0019,1044.0019,1044.0019,1044.0019,1044.0019,1044.0019,1044.0019,1044.0019,1044.0019,1044.0019,1044.0019,1044.0019,1044.0019,1044.0019,1044.0019,1044.0019,1044.0019,1044.0019,1044.0019,1044.0019,1044.0019,1044.0019,1044.0019,1044.0019,1044.0019,1044.0019,1044.0019,1044.0019,1044.0019,1044.0019,1044.0019,1044.0019,1044.0019,1044.0019,1044.0019,1044.0019,1044.0019,1026.9298,1037.2101,985.33811,6971.4605
NaturalGas,415.8944,102.0377,0.0000516,740.61402,415.8944,740.61402,740.61402,740.61402,415.8944,430.6947,415.8944,415.8944,415.8944,415.8944,415.8944,415.8944,515.77273,515.77273,515.77273,515.77273,515.77273,515.77273,515.77273,515.77273,515.77273,515.77273,515.77273,515.77273,415.8944,415.8944,415.8944,415.8944,2344.4129,415.8944,415.8944,415.8944,515.77273,515.77273,515.77273,515.77273,515.77273,515.77273,515.77273,515.77273,515.77273,515.77273,515.77273,515.77273,515.77273,515.77273,415.8944,415.8944,397.08457,415.8944,230.29069,1317.6515
OthFossFuel,1210.4439,1383.6307,1515.834,1506.7573,1210.4439,1506.7573,1210.4439,1506.7573,1210.4439,758.05624,1328.3345,1328.3345,1328.3345,1328.3345,1328.3345,1328.3345,340.76496,1228.7297,575.60943,1042.7981,893.63501,1097.7617,1097.7617,1283.4363,1324.727,762.00252,675.12842,675.12842,1210.4439,1210.4439,1998.2399,1339.6029,1210.4439,1210.4439,1998.2399,1210.4439,1256.9497,1256.9427,1256.9427,1259.3599,1254.5748,1254.5748,1254.5748,1254.5748,1254.5748,1254.5748,1254.5748,1254.5748,1254.5748,1254.5748,1210.4439,1210.4439,1444.4742,1192.8362,1222.4566,4821.6864
OthBiofuel,85.732449,85.732449,85.732449,85.732449,73.276539,85.732449,85.732449,85.732449,85.732449,12.117249,73.262242,73.262242,73.262242,73.262242,73.262242,73.262242,132.30453,68.410318,85.732449,68.319543,71.907046,73.967365,73.967365,73.276539,186.63237,76.914397,73.207643,73.207643,85.732449,85.732449,85.732449,85.732449,85.732449,85.732449,85.732449,85.732449,85.732449,85.732449,85.732449,70.876355,21.198715,21.198715,21.198715,21.198715,21.198715,21.198715,21.198715,21.198715,21.198715,21.198715,85.732449,85.732449,80.447855,85.732449,85.732449,1.000e-10
Diesel,2318.8057,2332.5472,2332.5472,2332.5472,2318.8057,2332.5472,2332.5472,2332.5472,2318.8057,1934.1449,2332.5472,2332.5472,2332.5472,2332.5472,2332.5472,2332.5472,2332.5472,2332.5472,2332.5472,2332.5472,2332.5472,2332.5472,2332.5472,2332.5472,2332.5472,2332.5472,2332.5472,2332.5472,2332.5472,2332.5472,2318.8057,2291.9811,2332.5472,2318.8057,2318.8057,2291.9811,3291.3915,3291.3915,3291.3915,3291.3915,2318.8057,2318.8057,2318.8057,2318.8057,2318.8057,2318.8057,2318.8057,2318.8057,2318.8057,2318.8057,2318.8057,2318.8057,2332.5472,2312.6043,2309.6479,17671.185
Biodiesel,2473.064,2473.064,2473.064,2473.064,2473.064,2473.064,2473.064,2473.064,2473.064,2473.064,2473.064,2473.064,2473.064,2473.064,2473.064,2473.064,2473.064,2473.064,2473.064,2473.064,2473.064,2473.064,2473.064,2473.064,2473.064,2473.064,2473.064,2473.064,2473.064,2473.064,2473.064,2473.064,2473.064,2473.064,2473.064,2473.064,2473.064,2473.064,2473.064,2473.064,2473.064,2473.064,2473.064,2473.064,2473.064,2473.064,2473.064,2473.064,2473.064,2473.064,2473.064,2473.064,1881.5409,2473.064,2473.064,1.000e-10
Gasoline,3886.4915,3886.4915,3886.4915,3886.4915,3886.4915,3886.4915,3886.4915,3886.4915,3886.4915,3886.4915,3886.4915,3886.4915,3886.4915,3886.4915,3886.4915,3886.4915,3886.4915,3886.4915,3886.4915,3886.4915,3886.4915,3886.4915,3886.4915,3886.4915,3886.4915,3886.4915,3886.4915,3886.4915,3886.4915,3886.4915,3886.4915,3886.4915,3863.987,3886.4915,3886.4915,3886.4915,3886.4915,3886.4915,3886.4915,3886.4915,3863.987,3863.987,3863.987,3863.987,3863.987,3863.987,3863.987,3863.987,3863.987,3863.987,3886.4915,3886.4915,3863.987,3863.987,4007.0748,4770.5948
Ethanol,4287.6236,4287.6236,4287.6236,4287.6236,4287.6236,4287.6236,4287.6236,4287.6236,4287.6236,4287.6236,4372.549,4372.549,4372.549,4372.549,4372.549,4372.549,4287.6236,4287.6236,4287.6236,4287.6236,4287.6236,4287.6236,4287.6236,4287.6236,4287.6236,4287.6236,4287.6236,4287.6236,4287.6236,4287.6236,4287.6236,4287.6236,3897.2631,4287.6236,4287.6236,4287.6236,4287.6236,4287.6236,4287.6236,4287.6236,4280.6307,4280.6307,4280.6307,4280.6307,4280.6307,4280.6307,4280.6307,4280.6307,4280.6307,4280.6307,4287.6236,4287.6236,4249.7223,4239.3174,4285.4391,5160.0751
Electricity,2904.2835,736.69214,736.69214,1505.5143,3654.2157,1505.5143,3992.4419,1505.5143,1.000e-10,1900.4046,1039.7172,2985.8193,2985.8193,2985.8193,2985.8193,2985.8193,1656.3314,866.9127,2021.9108,1016.6622,1887.9562,2034.5486,2034.5486,2478.4908,1186.9352,2179.2179,3404.2176,3404.2176,2904.2835,2904.2835,2904.2835,2904.2835,2904.2835,3992.4419,2904.2835,2904.2835,3446.3461,3701.2372,3701.2372,3701.2372,4649.5175,4649.5175,4649.5175,4649.5175,4649.5175,4649.5175,4649.5175,4649.5175,4649.5175,4649.5175,2904.2835,2904.2835,3744.186,2903.987,2955.0092,34018.489
PlantedForest,187.86569,187.86569,187.86569,187.86569,0.7047465,62.661322,187.86569,62.661322,187.86569,187.86569,187.86569,187.86569,187.86569,187.86569,187.86569,187.86569,187.86569,187.86569,187.86569,187.86569,187.86569,187.86569,187.86569,187.86569,31.861115,187.86569,187.86569,187.86569,187.86569,187.86569,187.86569,187.86569,187.86569,187.86569,187.86569,187.86569,187.86569,187.86569,187.86569,187.86569,187.86569,187.86569,187.86569,187.86569,187.86569,187.86569,187.86569,187.86569,187.86569,187.86569,62.661322,187.86569,187.86569,62.380601,62.380601,62.380601
SugarCane,59.140844,59.140844,59.140844,59.140844,59.140844,59.140844,59.140844,59.140844,59.140844,59.140844,59.140844,59.140844,59.140844,59.140844,59.140844,59.140844,59.140844,59.140844,59.140844,59.140844,59.140844,59.140844,59.140844,59.140844,59.140844,59.140844,59.140844,59.140844,59.140844,59.140844,59.140844,59.140844,59.140844,59.140844,59.140844,59.140844,59.140844,59.140844,59.140844,59.140844,59.140844,59.140844,59.140844,59.140844,59.140844,59.140844,59.140844,59.140844,59.140844,59.140844,59.140844,59.140844,58.084762,59.140844,59.140844,63.46
Soy,977.03313,977.03313,977.03313,977.03313,977.03313,1011.9068,977.03313,1011.9068,1011.9068,1011.9068,977.03313,977.03313,977.03313,977.03313,977.03313,977.03313,977.03313,1011.9068,977.03313,977.03313,977.03313,977.03313,977.03313,977.03313,977.03313,1011.9068,977.03313,977.03313,977.03313,977.03313,1011.9068,977.03313,1011.9068,1011.9068,1011.9068,1011.9068,1011.9068,1011.9068,1011.9068,977.03313,977.03313,977.03313,977.03313,977.03313,977.03313,977.03313,977.03313,977.03313,977.03313,977.03313,1011.9068,1011.9068,977.03313,977.03313,976.41421,1139
RestAgri,1323.2157,1323.2157,1323.2157,1323.2157,1323.2157,1323.2157,1323.2157,1323.2157,1323.2157,1323.2157,1323.2157,1323.2157,1323.2157,1323.2157,1323.2157,1323.2157,1323.2157,1323.2157,1323.2157,1323.2157,1323.2157,1323.2157,1323.2157,1323.2157,1323.2157,1323.2157,1323.2157,1323.2157,1323.2157,1323.2157,1323.2157,1323.2157,1323.2157,1323.2157,1323.2157,1323.2157,1323.2157,1323.2157,1323.2157,1323.2157,1323.2157,1323.2157,1323.2157,1323.2157,1323.2157,1323.2157,1323.2157,1323.2157,1323.2157,1323.2157,1323.2157,1323.2157,1295.4915,1316.4442,1000,1000
Cattle,7267.0902,7267.0902,7263.0667,7267.0902,7263.0667,7267.0902,7263.0667,7267.0902,7263.0667,7263.0667,7263.0667,7263.0667,7263.0667,7263.0667,7263.0667,7263.0667,7263.0667,7267.0902,7263.0667,7267.0902,7263.0667,7263.0667,7263.0667,7263.0667,7267.0902,7267.0902,7263.0667,7263.0667,7267.0902,7267.0902,7263.0667,7263.0667,7263.0667,7263.0667,7263.0667,7263.0667,7263.0667,7263.0667,7263.0667,7263.0667,7263.0667,7263.0667,7263.0667,7263.0667,7263.0667,7263.0667,7263.0667,7263.0667,7263.0667,7263.0667,7263.0667,7263.0667,7263.0667,7263.0667,7260.7917,8969.3557
