Socio demograhic variables;value;units
Population;41733.271;thousand of people
Retired;5352.255;thousand of people
Unemployed;2879.595699;thousand of people
Labour_force;19322.50447;thousand of people
Consumption_Units;%nan;to define
Nb_Households;12747.90495;Thousands of households
