CarbonTax_Diff_C;HH1;H2;H3;H4;H5;H6;H7;H8;H9;H10
Crude_oil;1;1;1;1;1;1;1;1;1;1
Natural_gas;1;1;1;1;1;1;1;1;1;1
Coking_coal;1;1;1;1;1;1;1;1;1;1
Bituminous_coal;1;1;1;1;1;1;1;1;1;1
Coke;1;1;1;1;1;1;1;1;1;1
Other_coal;1;1;1;1;1;1;1;1;1;1
Gasoline;1;1;1;1;1;1;1;1;1;1
LPG;1;1;1;1;1;1;1;1;1;1
Jetfuel;1;1;1;1;1;1;1;1;1;1
Fuel;1;1;1;1;1;1;1;1;1;1
Fuel_oil;1;1;1;1;1;1;1;1;1;1
Heavy_fuel_oil;1;1;1;1;1;1;1;1;1;1
Other_fuel_prod;1;1;1;1;1;1;1;1;1;1
Electricity;1;1;1;1;1;1;1;1;1;1
HeatGeoSol_Th;1;1;1;1;1;1;1;1;1;1
Steel_Iron;1;1;1;1;1;1;1;1;1;1
NonFerrousMetals;1;1;1;1;1;1;1;1;1;1
Cement;1;1;1;1;1;1;1;1;1;1
OthMin;1;1;1;1;1;1;1;1;1;1
Buildings_constr;1;1;1;1;1;1;1;1;1;1
Work_constr;1;1;1;1;1;1;1;1;1;1
ChemicalPharma;1;1;1;1;1;1;1;1;1;1
Paper;1;1;1;1;1;1;1;1;1;1
Mining;1;1;1;1;1;1;1;1;1;1
Automobile;1;1;1;1;1;1;1;1;1;1
OthTranspEquip;1;1;1;1;1;1;1;1;1;1
Load_PipeTransp;1;1;1;1;1;1;1;1;1;1
PassTransp;1;1;1;1;1;1;1;1;1;1
NavalTransp;1;1;1;1;1;1;1;1;1;1
AirTransp;1;1;1;1;1;1;1;1;1;1
Agri_Forestry;1;1;1;1;1;1;1;1;1;1
Fishing;1;1;1;1;1;1;1;1;1;1
Food_industry;1;1;1;1;1;1;1;1;1;1
Property_business;1;1;1;1;1;1;1;1;1;1
Comp;1;1;1;1;1;1;1;1;1;1
