IC prices CO2;Crude;Natur;Coal ;AllFu;Elect;HeatG;Heavy;Build;Work_;Autom;Load_;PassT;Agri_;Prope;OthSe;C;G;I;X;
Crude;0.1;0.1;0.1;8.8;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;
Natur;66.9;2.1;66.9;66.9;66.9;66.9;66.6;46.8;54.3;54.3;54.3;54.3;53.6;54.3;54.3;38.4;2.1;2.1;2.1;
Coal ;82.5;82.5;256.8;82.5;370;311.5;235;82.5;241.7;198.1;82.5;82.5;294.4;241.7;285;260;82.5;82.5;82.9;
AllFu;1.8;1.8;1.8;1.8;67.2;54.3;40.2;30.8;30.8;26.4;30.3;30.3;39.7;30.8;33.1;25.3;1.3;1.3;2.3;
Elect;10.4;10.4;10.4;10.4;10.5;10.4;10.4;10.5;10.5;10.4;10.4;10.4;10.4;10.5;10.5;10.5;10.5;10.5;10.7;
HeatG;22.2;22.2;22.2;22.2;22.2;22.2;22.2;22.2;22.2;22.2;22.2;22.2;22.2;22.2;22.2;22.2;22.2;22.2;22.4;
Heavy;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;
Build;3.1;3.1;3.1;3.1;3.1;3.1;3.1;3.1;3.1;3.1;3.1;3.1;3.1;3.1;3.1;3.1;3.1;3.1;3.1;
Work_;2.3;2.3;2.3;2.3;2.3;2.3;2.3;2.3;2.3;2.3;2.3;2.3;2.3;2.3;2.3;2.3;2.3;2.3;2.3;
Autom;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;
Load_;11.1;11.1;11.1;11.1;11.1;11.1;11.1;11.1;11.1;11.1;11.1;11.1;11.1;11.1;11.1;11.1;11.1;11.1;9.9;
PassT;4.7;4.7;4.7;4.7;4.7;4.7;4.7;4.7;4.7;4.7;4.7;4.7;4.7;4.7;4.7;4.7;4.7;4.7;4.4;
Agri_;2.9;2.9;2.9;2.9;2.9;2.9;2.9;2.9;2.9;2.9;2.9;2.9;2.9;2.9;2.9;2.9;2.9;2.9;2.8;
Prope;13.8;13.8;13.8;13.8;13.8;13.8;13.8;13.8;13.8;13.8;13.8;13.8;13.8;13.8;13.8;13.8;13.8;13.8;13.8;
OthSe;2.6;2.6;2.6;2.6;2.6;2.6;2.6;2.6;2.6;2.6;2.6;2.6;2.6;2.6;2.6;2.6;2.6;2.6;2.6;
;;;;;;;;;;;;;;;;;;;;
w;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;;;;;
pL;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;;;;;
pK;4.7;4.7;4.7;4.7;4.7;4.7;4.7;4.7;4.7;4.7;4.7;4.7;4.7;4.7;4.7;;;;;
pY;4.9;4.7;182;3.6;11.1;22.4;5.4;3.1;2.3;2.3;7.3;4.5;3.5;13.8;2.9;;;;;
pM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
p;0.1;2.1;82.9;2.3;10.7;22.4;3;3.1;2.3;1.2;7.1;4.4;2.8;13.8;2.5;;;;;
;;;;;;;;;;;;;;;;;;;;
Units;0.01 €/tep, €/tons;;;;;;;;;;;;;;;;;;;
