Economic Table;Corporations;Government;Households;RestOfWorld
Trade_Balance;0;0;0; 34.9
GOS_byAgent; 6.2; 6.2; 6.2;0
NetCompWages_byAgent;0;0;-1.1;0
InsuranceContrib_byAgent;0;-1.1;0;0
Production_Tax_byAgent;0; 2.6;0;0
Energ_Tax_byAgent;0;-5.6;0;0
Carbon_Tax_byAgent;0; 1.324e+25;0;0
OtherIndirTax_byAgent;0;-0.5;0;0
VA_Tax_byAgent;0; 4.7;0;0
Property_income;0;0;0;0
Unemployment_transfers;0; 19.3; 19.3;0
Pensions;0;0;0;0
Other_social_transfers;0;0;0;0
ClimPolicyCompens;0;-1.325e+25; 1.324e+25;0
Other_Transfers; 3; 3; 3; 3
Income_Tax;0;0;0;0
Corporate_Tax; 4.8; 4.8;0;0
Other_Direct_Tax;0; 3.6; 3.6;0
Disposable_Income; 8; 2.6; 2.1; 48.8
FC_byAgent;0; 2.9; 2.1;0
GFCF_byAgent; 13.2; 2.7; 2.1;0
Tot_FC_byAgent; 13.2; 2.9; 2.1;0
NetLending; 136.1; 4.3; 2.1; 48.8
NetFinancialDebt;0;0;0;0
;;;;
Units;0.01 k€;;;
