CompT%;pY;Y vol;pM;M vol;C vol;G vol;I vol;X vol;Ener Cost Share;Trade Intens;Import Penet Rate
Crude_oil;4.9463638;-9.5577798;0;-9.5577798;Nan;Nan;Nan;0;0.0351697;-4.7066439;-0.0639573
Natural_gas;4.7013415;-6.8928971;0;-6.8928971;-4.995991;Nan;Nan;0;0.0000576;-3.8324791;-1.7654156
Coal;182.00567;-12.437983;0;-12.437983;-4.995991;Nan;Nan;0;14.02293;-63.652434;-45.217162
AllFuels;3.5503691;-4.8183294;0;-4.8183294;-4.995991;Nan;Nan;0;0.1196463;-0.6927512;-0.8095015
Electricity;11.054503;-6.2665913;0;-6.2665913;-4.995991;Nan;Nan;0;4.7977413;1.3928762;-9.1296675
HeatGeoSol_Th;22.39297;-7.1532007;0;-53.152701;-4.995991;Nan;Nan;Nan;3.9867167;-99.968314;-99.968314
Heavy_Industry;5.3539515;-6.4229335;0;2.4667753;-1.769422;-0.0541662;5.5449201;-4.3096606;2.038086;1.9567231;1.228179
Buildings_constr;3.1109564;5.4206143;0;-38.069875;Nan;Nan;5.4214959;Nan;0.0415501;-99.997496;-99.997496
Work_constr;2.2962886;4.3833799;0;-39.366813;-1.1054869;Nan;6.2582925;Nan;0.0942722;-99.999429;-99.999429
Automobile;2.254098;-2.4214299;0;1.2644567;-0.0503148;Nan;7.3981043;-3.9645714;0.0779146;-0.4223178;-1.1764403
Load_PipeTransp;7.2573892;-2.1415218;0;-2.1415218;-8.9269488;-7.3366743;Nan;0;2.932548;-2.7202187;-6.5618346
PassTransp;4.5440819;-3.4245453;0;-3.4245453;-3.4245453;Nan;Nan;Nan;1.0643961;-4.3465702;-4.2400474
Agri_Food_industry;3.5369573;-3.5496724;0;3.358225;-1.6523169;0.0649837;5.670745;-3.3855245;0.7368609;1.4408885;2.6752403
Property_business;13.757498;-8.7827241;0;-49.874016;-11.074551;-9.5217767;-4.4530773;Nan;0.0022668;-99.999975;-99.999975
OthSectors;2.8636682;-1.4608447;0;3.3711491;-1.369609;0.3526281;5.9745036;-3.4469924;0.0998542;-0.0819243;1.4977061
