IC prices CO2;Crude;Natur;Coal ;AllFu;Elect;HeatG;Heavy;Build;Work_;Autom;Load_;PassT;Agri_;Prope;OthSe;C;G;I;X;
Crude;345.9;345.9;345.9;376;345.9;345.9;345.9;345.9;345.9;345.9;345.9;345.9;345.9;345.9;345.9;345.9;345.9;345.9;363.1;
Natur;604.7;493.9;604.7;604.7;604.7;604.7;605.9;770.9;694;694;694;694;700.3;694;694;1106.4;596.5;596.5;227;
Coal ;415.6;415.6;882.2;415.6;701.2;711.4;979.3;415.6;939.8;1156.7;415.6;415.6;744.2;939.8;774.1;960;494.2;494.2;551.3;
AllFu;875.1;875.1;875.1;875.1;781.3;863.5;1109.3;1357.7;1349;1518.1;1377.5;1377.5;1093.3;1349;1266.9;1756.1;1408.6;1408.6;601.3;
Elect;905.7;905.7;905.7;905.7;1235.5;905.7;788.5;1356.9;1302.7;905.7;905.7;905.7;982.1;1302.7;1352.1;2267.1;1879.1;1879.1;820.5;
HeatG;970.9;970.9;970.9;970.9;970.9;970.9;970.9;970.9;973.8;970.9;970.9;970.9;973.8;973.8;973.8;1091.7;1175.4;1175.4;963.8;
Heavy;1361;1361;1361;1361;1361;1361;1361;1361;1361;1361;1361;1361;1361;1361;1361;1509.8;1509.8;1509.8;1356.4;
Build;1107.4;1107.4;1107.4;1107.4;1107.4;1107.4;1107.4;1107.4;1107.4;1107.4;1107.4;1107.4;1107.4;1107.4;1107.4;1246.8;1246.8;1246.8;1102.8;
Work_;1099.5;1099.5;1099.5;1099.5;1099.5;1099.5;1099.5;1099.5;1099.5;1099.5;1099.5;1099.5;1099.5;1099.5;1099.5;1201;1201;1201;1094.6;
Autom;26712.6;26712.6;26712.6;26712.6;26712.6;26712.6;26712.6;26712.6;26712.6;26712.6;26712.6;26712.6;26712.6;26712.6;26712.6;27746;30739;45478.8;27005.9;
Load_;130.5;130.5;130.5;130.5;130.5;130.5;130.5;130.5;130.5;130.5;130.5;130.5;130.5;130.5;130.5;181.3;181.3;181.3;143.9;
PassT;95.7;95.7;95.7;95.7;95.7;95.7;95.7;95.7;95.7;95.7;95.7;95.7;95.7;95.7;95.7;97.3;97.3;97.3;102.2;
Agri_;1497.1;1497.1;1497.1;1497.1;1497.1;1497.1;1497.1;1497.1;1497.1;1497.1;1497.1;1497.1;1497.1;1497.1;1497.1;1581.7;1581.7;1581.7;1502;
Prope;95.7;95.7;95.7;95.7;95.7;95.7;95.7;95.7;95.7;95.7;95.7;95.7;95.7;95.7;95.7;96.9;96.9;96.9;95.6;
OthSe;1045.2;1045.2;1045.2;1045.2;1045.2;1045.2;1045.2;1045.2;1045.2;1045.2;1045.2;1045.2;1045.2;1045.2;1045.2;1113.6;1113.6;1113.6;1028.3;
;;;;;;;;;;;;;;;;;;;;
w;91939.5;63882.3;45629.6;79466.8;63882.3;63882.3;53061.2;39281.1;21712.6;71750.1;219711.3;49785.4;35564.3;24217.7;34472.8;;;;;
pL;133399.1;92689.7;66206;115301.9;92689.7;92689.7;76988.9;56994.7;31503.8;104105.5;318789;72235.9;51601.8;35138.6;50018.1;;;;;
pK;1009.6;1009.6;1009.6;1009.6;1009.6;1009.6;1009.6;1009.6;1009.6;1009.6;1009.6;1009.6;1009.6;1009.6;1009.6;;;;;
pY;251.5;238736;936.7;752;1185.1;952.1;1094.7;1102.8;1094.6;22733;238.3;102.6;1113.9;95.6;1104;;;;;
pM;347.1;252.3;164.6;454.1;1008.6;1027.5;1000;1000;1000;21043.9;176.5;87.5;1000;78.1;1000;;;;;
p;345.1;470.3;390.7;611.3;1178.7;952.1;1053.5;1102.8;1094.6;21951.9;236.5;102.2;1092.8;95.6;1091.9;;;;;
;;;;;;;;;;;;;;;;;;;;
Units;1 €/tep, €/tons;;;;;;;;;;;;;;;;;;;
