CompT_run;pY;Y vol;pM;M vol;C vol;G vol;I vol;X vol;Ener Cost Share;Trade Intens;Import Penet Rate
Crude_oil;251.45351;856.9594;347.10648;40750.764;0;0;0;28;19.415701;65.688995;0.9856923
Natural_gas;238736.02;32.712912;252.31424;35758.267;11524.391;0;0;3336.2683;0.0316103;1.2522324;0.5612722
Coal;936.71571;2924.317;164.55276;7060.6221;27.941969;-2.377e-14;0;103.5648;90.821437;0.4449884;0.3022483
AllFuels;752.0293;38022.013;454.05869;34034.563;29613.347;0;0;16932;59.081597;0.8965096;0.4563113
Electricity;1185.0942;42294.585;1008.5722;1580.5842;13540.753;0;0;5279.7936;9.8234042;0.1182319;0.0336420
HeatGeoSol_Th;952.06756;3219.401;1027.4916;0;1171.9762;0;0;0;70.024833;0;0
Heavy_Industry;1094.7401;168276.79;1000;129593.38;33758.211;20432.195;140.40593;91122.884;7.4115695;1.3744039;0.6813019
Buildings_constr;1102.7862;54361.088;1000;3.333e-16;0;0;52378.277;0;0.2544296;0;0
Work_constr;1094.6387;231646.66;1000;3.212e-16;12347.127;0;154568.57;0;0.6501107;0;0
Automobile;22733.017;2975.1549;21043.918;2559.7284;2540.7635;0;625.09114;1677.2737;0.5809898;1.4661666;0.7068696
Load_PipeTransp;238.32212;360971.93;176.45045;10768.858;4206.9593;18616.528;0;8041.4979;22.017481;0.0355363;0.0218987
PassTransp;102.58978;182097.55;87.518192;5362.6802;187460.23;0;0;0;10.366105;0.0251230;0.0245073
Agri_Food_industry;1113.9354;199229.81;1000;45280.512;113313.86;158.33256;1252.319;30779.073;3.6950125;0.4123418;0.2049082
Property_business;95.647158;3668896.1;78.108601;2.471e-16;2452133.5;178516.07;104298.42;0;0.1584279;0;0
OthSectors;1104.0173;2658170.5;1000;349133.32;561967.45;512111.3;236453.48;307906.57;0.9623535;0.2268614;0.1176654
