Prices;Crude_oil;Natural_gas;Coking_coal;Bituminous_coal;Coke;Other_coal;Gasoline;LPG;Jetfuel;Fuel;Fuel_oil;Heavy_fuel_oil;Other_fuel_prod;Electricity;HeatGeoSol_Th;Steel_Iron;NonFerrousMetals;Cement;OthMin;Buildings_constr;Work_constr;ChemicalPharma;Paper;Mining;Automobile;OthTranspEquip;Load_PipeTransp;PassTransp;NavalTransp;AirTransp;Agri_Forestry;Fishing;Food_industry;Property_business;Comp;C;G;I;X;Tot_uses;Y;M
Crude_oil;436.3681946685;436.3681946685;436.3681946685;436.3681946685;436.3681946685;436.3681946685;436.3508209923;436.3508209923;436.3508209923;436.3508209923;436.3508209923;436.3508209923;436.3508209923;436.3681946685;436.3681946685;436.3681946685;436.3681946685;436.3681946685;436.3681946685;436.3681946685;436.3681946685;436.3681946685;436.3681946685;436.3681946685;436.3681946685;436.3681946685;436.3681946685;436.3681946685;436.3681946685;436.3681946685;436.3681946685;436.3681946685;436.3681946685;436.3681946685;436.3681946685;436.3681946685;436.3681946685;436.3681946685;458.1683620419;436.3680085929;180.0169908503;444.96
Natural_gas;329;438.8319055697;438.8319055697;438.8319055697;329;329;329;329;329;329;329;329;329;329;329;329;329;329;329;476;408;329;329;408;408;408;408;408;408;408;476;476;408;408;408;724.917;529.9277381519;529.9277381519;200.7951887663;481.3622106651;12404.8421301741;233.923
Coking_coal;237.796;237.796;237.796;237.796;237.796;237.796;237.796;237.796;237.796;237.796;237.796;237.796;237.796;237.796;237.796;237.796;237.796;237.796;237.796;237.796;237.796;237.796;237.796;237.796;237.796;237.796;237.796;237.796;237.796;237.796;237.796;237.796;237.796;237.796;237.796;237.796;237.796;237.796;237.796;237.796;1E-10;237.796
Bituminous_coal;145.5195923627;145.5195923627;145.5195923627;145.5195923627;145.5195923627;145.5195923627;145.5195923627;145.5195923627;145.5195923627;145.5195923627;145.5195923627;145.5195923627;145.5195923627;131.638;171.884;171.884;171.884;171.884;171.884;145.5195923627;145.5195923627;171.884;171.884;145.5195923627;145.5195923627;145.5195923627;145.5195923627;145.5195923627;145.5195923627;145.5195923627;145.5195923627;145.5195923627;171.884;171.884;171.884;171.884;186.9343622994;186.9343622994;131.696;147.4554809811;48.9942495567;131.696
Coke;385.8249115455;385.8249115455;385.8249115455;385.8249115455;385.8249115455;385.8249115455;385.8249115455;385.8249115455;385.8249115455;385.8249115455;385.8249115455;385.8249115455;385.8249115455;385.8249115455;385.8249115455;385.7788333005;385.8249115455;385.8249115455;385.7788333005;385.8249115455;385.7788333005;385.7788333005;385.8249115455;385.8249115455;385.7788333005;385.7788333005;385.8249115455;385.8249115455;385.8249115455;385.8249115455;385.8249115455;385.8249115455;385.7788333005;385.7788333005;385.7788333005;385.8249115455;385.8249115455;385.8249115455;385.7788333005;385.7788333005;352.2662320831;385.7788333005
Other_coal;348.9301543942;348.9301543942;348.9301543942;348.9301543942;329;329;348.9301543942;348.9301543942;348.9301543942;348.9301543942;348.9301543942;348.9301543942;348.9301543942;329;348.9301543942;329;348.9301543942;348.9301543942;348.9301543942;348.9301543942;112.386118132;348.9301543942;348.9301543942;348.9301543942;348.9301543942;348.9301543942;348.9301543942;348.9301543942;348.9301543942;348.9301543942;348.9301543942;348.9301543942;348.9301543942;112.386118132;112.386118132;779.4851939868;382.592980431;382.592980431;386.7899910774;353.1901876742;328.0890606933;368.717860082
Gasoline;1098.7317223842;1098.7317223842;1098.7317223842;1098.7317223842;1098.7317223842;1098.7317223842;1098.7317223842;1098.7317223842;1098.7317223842;1098.7317223842;1098.7317223842;1098.7317223842;1098.7317223842;1098.7317223842;1098.7317223842;1430.3976688573;1430.3976688573;1430.3976688573;1430.3976688573;1430.3976688573;1430.3976688573;1430.3976688573;1430.3976688573;1430.3976688573;1430.3976688573;1430.3976688573;1430.3976688573;1430.3976688573;1430.3976688573;1430.3976688573;1430.3976688573;663.3930165375;1430.3976688573;1430.3976688573;1430.3976688573;1710.7556119533;1796.1502367096;1796.1502367096;663.3930165375;1236.7570373938;561.6995050958;663.3930165375
LPG;879.2065331297;879.2065331297;879.2065331297;879.2065331297;879.2065331297;879.2065331297;879.2065331297;879.2065331297;879.2065331297;879.2065331297;879.2065331297;879.2065331297;879.2065331297;879.2065331297;879.2065331297;1075.6426396369;1075.6426396369;1075.6426396369;1075.6426396369;879.2065331297;1075.6426396369;1075.6426396369;1075.6426396369;1075.6426396369;1075.6426396369;1075.6426396369;916.529;916.529;916.529;916.529;1075.6426396369;879.2065331297;1075.6426396369;1075.6426396369;1075.6426396369;1425.2992688996;1462.8012698575;1462.8012698575;468.5354319339;1032.6782396216;792.0569779885;468.5354319339
Jetfuel;532.4868479093;532.4868479093;532.4868479093;532.4868479093;532.4868479093;532.4868479093;532.4868479093;532.4868479093;532.4868479093;532.4868479093;532.4868479093;532.4868479093;532.4868479093;532.4868479093;532.4868479093;532.4868479093;532.4868479093;532.4868479093;532.4868479093;532.4868479093;531.8609791245;532.4868479093;532.4868479093;532.4868479093;532.4868479093;532.4868479093;531.8609791245;531.8609791245;531.8609791245;531.8609791245;532.4868479093;532.4868479093;532.4868479093;531.8609791245;531.8609791245;532.4868479093;532.4868479093;532.4868479093;531.8609791245;531.8609791245;561.1103247869;487.17
Fuel;1015.8865069194;1015.8865069194;1015.8865069194;1015.8865069194;1015.8865069194;1015.8865069194;1015.8865069194;1015.8865069194;1015.8865069194;1015.8865069194;1015.8865069194;1015.8865069194;1015.8865069194;1015.8865069194;1015.8865069194;1134.6500168214;1134.6500168214;1134.6500168214;1134.6500168214;1134.6500168214;1134.6500168214;1134.6500168214;1134.6500168214;1134.6500168214;1134.6500168214;1134.6500168214;1099.2396821834;1099.2396821834;1099.2396821834;1099.2396821834;697.9225562865;627.1018870106;1134.6500168214;1134.6500168214;1134.6500168214;1357.0414201183;1385.292101479;1385.292101479;512.4908698379;1143.5751258512;659.6624520505;512.4908698379
