Prices;Crude_oil;Natural_gas;Coking_coal;Bituminous_coal;Coke;Other_coal;Gasoline;LPG;Jetfuel;Fuel;Fuel_oil;Heavy_fuel_oil;Other_fuel_prod;Electricity;HeatGeoSol_Th;Steel_Iron;NonFerrousMetals;Cement;OthMin;Buildings_constr;Work_constr;ChemicalPharma;Paper;Mining;Automobile;OthTranspEquip;Load_PipeTransp;PassTransp;NavalTransp;AirTransp;Agri_Forestry;Fishing;Food_industry;Property_business;Comp;C;G;I;X;Tot_uses;Y;M
Fuel_oil;641.6457626989;641.6457626989;641.6457626989;641.6457626989;641.6457626989;641.6457626989;641.6457626989;641.6457626989;641.6457626989;641.6457626989;641.6457626989;641.6457626989;641.6457626989;596.1919;596.1919;596.1919;596.1919;596.1919;596.1919;596.1919;596.1919;596.1919;596.1919;596.1919;596.1919;596.1919;596.1919;596.1919;596.1919;596.1919;603.8663186047;596.1919;596.1919;596.1919;596.1919;835.3128;776.3914432872;776.3914432872;589.6269079407;711.0410151884;592.5582859851;421.2664678571
Heavy_fuel_oil;440.2873853024;440.2873853024;440.2873853024;440.2873853024;440.2873853024;440.2873853024;440.2873853024;440.2873853024;440.2873853024;440.2873853024;440.2873853024;440.2873853024;440.2873853024;408.859;408.859;440.2873853024;408.859;408.859;408.859;440.2873853024;408.859;408.859;408.859;408.859;408.859;408.859;408.859;408.859;408.859;408.859;418.5753865546;440.2873853024;408.859;408.859;408.859;428.13;1231.5837345146;1231.5837345146;450;438.9326603438;642.7230132446;250
Other_fuel_prod;522.1439907436;522.1439907436;522.1439907436;522.1439907436;522.1439907436;522.1439907436;522.1439907436;522.1439907436;522.1439907436;522.1439907436;522.1439907436;522.1439907436;522.1439907436;525.9644633358;525.9644633358;525.9644633358;600;600;600;522.1439907436;600;512.0166140144;522.1439907436;522.1439907436;522.1439907436;522.1439907436;522.1439907436;522.1439907436;522.1439907436;522.1439907436;522.1439907436;522.1439907436;600;600;600;531.8609791245;781.0973410425;781.0973410425;512.0166140144;525.9644633358;539.6304097234;250
Electricity;580;580;788.2802908525;580;580;580;580;580;580;580;580;580;580;788.2802908525;580;504;504;504;504;865;830.7495593736;504;504;727;580;580;580;580;580;580;865;865;580;830.7495593736;867.10992436;1450.9959;1204.7442403153;1204.7442403153;518.231070234;948.5147746246;748.0085690121;654.1033824639
HeatGeoSol_Th;681.7003930639;681.7003930639;681.7003930639;681.7003930639;681.7003930639;681.7003930639;681.7003930639;681.7003930639;681.7003930639;681.7003930639;681.7003930639;681.7003930639;681.7003930639;681.7003930639;681.7003930639;681.7003930639;681.7003930639;681.7003930639;681.7003930639;681.7003930639;683.7209302326;681.7003930639;681.7003930639;681.7003930639;681.7003930639;681.7003930639;681.7003930639;681.7003930639;681.7003930639;681.7003930639;683.7209302326;681.7003930639;683.7209302326;683.7209302326;683.7209302326;768.6046511628;827.297890107;827.297890107;674.5570977136;687.124983811;666.3734321631;666.3734321631
Steel_Iron;609.8639401978;911.7819406437;609.8639401978;609.8639401978;911.7819406437;911.7819406437;911.7819406437;911.7819406437;911.7819406437;911.7819406437;911.7819406437;911.7819406437;911.7819406437;911.7819406437;911.7819406437;90;911.7819406437;911.7819406437;911.7819406437;911.7819406437;911.7819406437;911.7819406437;911.7819406437;911.7819406437;911.7819406437;911.7819406437;911.7819406437;911.7819406437;911.7819406437;911.7819406437;911.7819406437;911.7819406437;911.7819406437;911.7819406437;911.7819406437;911.7819406437;740.2705287014;911.7819406437;616.2903123212;610.4097877934;504.6932138729;690.6412525165
NonFerrousMetals;1065.0103557795;1065.0103557795;1065.0103557795;1065.0103557795;1065.0103557795;1065.0103557795;1065.0103557795;1065.0103557795;1065.0103557795;1065.0103557795;1065.0103557795;1065.0103557795;1065.0103557795;1065.0103557795;1065.0103557795;1065.0103557795;1065.0103557795;1065.0103557795;1065.0103557795;1065.0103557795;1065.0103557795;1065.0103557795;1065.0103557795;1065.0103557795;1065.0103557795;1065.0103557795;1065.0103557795;1065.0103557795;1065.0103557795;1065.0103557795;1065.0103557795;1065.0103557795;1065.0103557795;1065.0103557795;1065.0103557795;1144.3985337282;1144.3985337282;1144.3985337282;1064.470620293;1065.5951178222;1000;1000
Cement;138.4246221866;194.8501622296;138.4246221866;138.4246221866;194.8501622296;194.8501622296;194.8501622296;194.8501622296;194.8501622296;194.8501622296;194.8501622296;194.8501622296;194.8501622296;194.8501622296;194.8501622296;194.8501622296;194.8501622296;58.0202176515;194.8501622296;194.8501622296;194.8501622296;194.8501622296;194.8501622296;194.8501622296;194.8501622296;194.8501622296;194.8501622296;194.8501622296;194.8501622296;194.8501622296;194.8501622296;194.8501622296;194.8501622296;194.8501622296;194.8501622296;194.8501622296;152.7759964808;152.7759964808;211.8813839652;139.5292494336;113.5729918478;100.8816944839
OthMin;1388.7076752466;1388.7076752466;1388.7076752466;1388.7076752466;1388.7076752466;1388.7076752466;1388.7076752466;1388.7076752466;1388.7076752466;1388.7076752466;1388.7076752466;1388.7076752466;1388.7076752466;1388.7076752466;1388.7076752466;1388.7076752466;1388.7076752466;1388.7076752466;1388.7076752466;1388.7076752466;1388.7076752466;1388.7076752466;1388.7076752466;1388.7076752466;1388.7076752466;1388.7076752466;1388.7076752466;1388.7076752466;1388.7076752466;1388.7076752466;1388.7076752466;1388.7076752466;1388.7076752466;1388.7076752466;1388.7076752466;1702.4514947867;1702.4514947867;1702.4514947867;1386.928891124;1413.9547594768;1000;1000
Buildings_constr;1004.5670018602;1004.5670018602;1004.5670018602;1004.5670018602;1004.5670018602;1004.5670018602;1004.5670018602;1004.5670018602;1004.5670018602;1004.5670018602;1004.5670018602;1004.5670018602;1004.5670018602;1004.5670018602;1004.5670018602;1004.5670018602;1004.5670018602;1004.5670018602;1004.5670018602;1004.5670018602;1004.5670018602;1004.5670018602;1004.5670018602;1004.5670018602;1004.5670018602;1004.5670018602;1004.5670018602;1004.5670018602;1004.5670018602;1004.5670018602;1004.5670018602;1004.5670018602;1004.5670018602;1004.5670018602;1004.5670018602;1132.8281325303;1132.8281325303;1132.8281325303;1000;1128.1476035484;1000;1000
Work_constr;1004.89987484;1004.89987484;1004.89987484;1004.89987484;1004.89987484;1004.89987484;1004.89987484;1004.89987484;1004.89987484;1004.89987484;1004.89987484;1004.89987484;1004.89987484;1004.89987484;1004.89987484;1004.89987484;1004.89987484;1004.89987484;1004.89987484;1004.89987484;1004.89987484;1004.89987484;1004.89987484;1004.89987484;1004.89987484;1004.89987484;1004.89987484;1004.89987484;1004.89987484;1004.89987484;1004.89987484;1004.89987484;1004.89987484;1004.89987484;1004.89987484;1098.9589014423;1098.9589014423;1098.9589014423;1000;1070.9077183807;1000;1000
ChemicalPharma;1385.0702251135;1385.0702251135;1385.0702251135;1385.0702251135;1385.0702251135;1385.0702251135;1385.0702251135;1385.0702251135;1385.0702251135;1385.0702251135;1385.0702251135;1385.0702251135;1385.0702251135;1385.0702251135;1385.0702251135;1385.0702251135;1385.0702251135;1385.0702251135;1385.0702251135;1385.0702251135;1385.0702251135;1385.0702251135;1385.0702251135;1385.0702251135;1385.0702251135;1385.0702251135;1385.0702251135;1385.0702251135;1385.0702251135;1385.0702251135;1385.0702251135;1385.0702251135;1385.0702251135;1385.0702251135;1385.0702251135;1513.400100391;1513.400100391;1513.400100391;1377.1245147452;1417.0759073238;1000;1000
Paper;1197.5516469571;1197.5516469571;1197.5516469571;1197.5516469571;1197.5516469571;1197.5516469571;1197.5516469571;1197.5516469571;1197.5516469571;1197.5516469571;1197.5516469571;1197.5516469571;1197.5516469571;1197.5516469571;1197.5516469571;1197.5516469571;1197.5516469571;1197.5516469571;1197.5516469571;1197.5516469571;1197.5516469571;1197.5516469571;1197.5516469571;1197.5516469571;1197.5516469571;1197.5516469571;1197.5516469571;1197.5516469571;1197.5516469571;1197.5516469571;1197.5516469571;1197.5516469571;1197.5516469571;1197.5516469571;1197.5516469571;1528.8490953361;1528.8490953361;1528.8490953361;1196.622047432;1236.8692856043;1000;1000
Mining;1332.3883071524;1332.3883071524;1332.3883071524;1332.3883071524;1332.3883071524;1332.3883071524;1332.3883071524;1332.3883071524;1332.3883071524;1332.3883071524;1332.3883071524;1332.3883071524;1332.3883071524;1332.3883071524;1332.3883071524;1332.3883071524;1332.3883071524;1332.3883071524;1332.3883071524;1332.3883071524;1332.3883071524;1332.3883071524;1332.3883071524;1332.3883071524;1332.3883071524;1332.3883071524;1332.3883071524;1332.3883071524;1332.3883071524;1332.3883071524;1332.3883071524;1332.3883071524;1332.3883071524;1332.3883071524;1332.3883071524;2114.460458208;2114.460458208;2114.460458208;1326.2620254501;1335.828830387;1000;1000
Automobile;25595.588441587;25595.588441587;25595.588441587;25595.588441587;25595.588441587;25595.588441587;25595.588441587;25595.588441587;25595.588441587;25595.588441587;25595.588441587;25595.588441587;25595.588441587;25595.588441587;25595.588441587;25595.588441587;25595.588441587;25595.588441587;25595.588441587;25595.588441587;25595.588441587;25595.588441587;25595.588441587;25595.588441587;25595.588441587;25595.588441587;25595.588441587;25595.588441587;25595.588441587;25595.588441587;25595.588441587;25595.588441587;25595.588441587;25595.588441587;25595.588441587;26633.5771376699;29508.0926315043;43664.3592183109;25888.964467593;27864.2723537906;21043.9184902594;21043.9184902594
OthTranspEquip;1027.2131543371;1027.2131543371;1027.2131543371;1027.2131543371;1027.2131543371;1027.2131543371;1027.2131543371;1027.2131543371;1027.2131543371;1027.2131543371;1027.2131543371;1027.2131543371;1027.2131543371;1027.2131543371;1027.2131543371;1027.2131543371;1027.2131543371;1027.2131543371;1027.2131543371;1027.2131543371;1027.2131543371;1027.2131543371;1027.2131543371;1027.2131543371;1027.2131543371;1027.2131543371;1027.2131543371;1027.2131543371;1027.2131543371;1027.2131543371;1027.2131543371;1027.2131543371;1027.2131543371;1027.2131543371;1027.2131543371;1301.2977265932;1301.2977265932;1301.2977265932;1026.1319431584;1053.6739126772;1000;1000
Load_PipeTransp;81.8710529346;81.8710529346;81.8710529346;81.8710529346;81.8710529346;81.8710529346;81.8710529346;81.8710529346;81.8710529346;81.8710529346;81.8710529346;81.8710529346;81.8710529346;81.8710529346;81.8710529346;81.8710529346;81.8710529346;81.8710529346;81.8710529346;81.8710529346;81.8710529346;81.8710529346;81.8710529346;81.8710529346;81.8710529346;81.8710529346;81.8710529346;81.8710529346;81.8710529346;81.8710529346;81.8710529346;81.8710529346;81.8710529346;81.8710529346;81.8710529346;114.1946826887;114.1946826887;114.1946826887;95.2123810216;84.8958549032;176.4504509559;176.4504509559
PassTransp;81.0359656255;81.0359656255;81.0359656255;81.0359656255;81.0359656255;81.0359656255;81.0359656255;81.0359656255;81.0359656255;81.0359656255;81.0359656255;81.0359656255;81.0359656255;81.0359656255;81.0359656255;81.0359656255;81.0359656255;81.0359656255;81.0359656255;81.0359656255;81.0359656255;81.0359656255;81.0359656255;81.0359656255;81.0359656255;81.0359656255;81.0359656255;81.0359656255;81.0359656255;81.0359656255;81.0359656255;81.0359656255;81.0359656255;81.0359656255;81.0359656255;82.4012674729;82.4012674729;82.4012674729;87.5181924411;82.4012674729;87.5181924411;87.5181924411
NavalTransp;1450.4632980431;1450.4632980431;1450.4632980431;1450.4632980431;1450.4632980431;1450.4632980431;1450.4632980431;1450.4632980431;1450.4632980431;1450.4632980431;1450.4632980431;1450.4632980431;1450.4632980431;1450.4632980431;1450.4632980431;1450.4632980431;1450.4632980431;1450.4632980431;1450.4632980431;1450.4632980431;1450.4632980431;1450.4632980431;1450.4632980431;1450.4632980431;1450.4632980431;1450.4632980431;1450.4632980431;1450.4632980431;1450.4632980431;1450.4632980431;1450.4632980431;1450.4632980431;1450.4632980431;1450.4632980431;1450.4632980431;1473.126787075;1473.126787075;1473.126787075;1567.6547753143;930.2914643911;1667.7837186627;1667.7837186627
AirTransp;1407.0156185046;1407.0156185046;1407.0156185046;1407.0156185046;1407.0156185046;1407.0156185046;1407.0156185046;1407.0156185046;1407.0156185046;1407.0156185046;1407.0156185046;1407.0156185046;1407.0156185046;1407.0156185046;1407.0156185046;1407.0156185046;1407.0156185046;1407.0156185046;1407.0156185046;1407.0156185046;1407.0156185046;1407.0156185046;1407.0156185046;1407.0156185046;1407.0156185046;1407.0156185046;1407.0156185046;1407.0156185046;1407.0156185046;1407.0156185046;1407.0156185046;1407.0156185046;1407.0156185046;1407.0156185046;1407.0156185046;1424.427492167;1424.427492167;1424.427492167;1361.9045933315;1008.7988808745;1383.8994733202;1383.8994733202
Agri_Forestry;1258.2659412287;1258.2659412287;1258.2659412287;1258.2659412287;1258.2659412287;1258.2659412287;1258.2659412287;1258.2659412287;1258.2659412287;1258.2659412287;1258.2659412287;1258.2659412287;1258.2659412287;1258.2659412287;1258.2659412287;1258.2659412287;1258.2659412287;1258.2659412287;1258.2659412287;1258.2659412287;1258.2659412287;1258.2659412287;1258.2659412287;1258.2659412287;1258.2659412287;1258.2659412287;1258.2659412287;1258.2659412287;1258.2659412287;1258.2659412287;1258.2659412287;1258.2659412287;1258.2659412287;1258.2659412287;1258.2659412287;1329.3722040385;1329.3722040385;1329.3722040385;1279.1237900368;1282.86650346;1000;1000
Fishing;1807.251384514;1807.251384514;1807.251384514;1807.251384514;1807.251384514;1807.251384514;1807.251384514;1807.251384514;1807.251384514;1807.251384514;1807.251384514;1807.251384514;1807.251384514;1807.251384514;1807.251384514;1807.251384514;1807.251384514;1807.251384514;1807.251384514;1807.251384514;1807.251384514;1807.251384514;1807.251384514;1807.251384514;1807.251384514;1807.251384514;1807.251384514;1807.251384514;1807.251384514;1807.251384514;1807.251384514;1807.251384514;1807.251384514;1807.251384514;1807.251384514;1899.0084049788;1899.0084049788;1899.0084049788;1806.3066144948;1856.9606904913;1000;1000
Food_industry;1414.1470026378;1414.1470026378;1414.1470026378;1414.1470026378;1414.1470026378;1414.1470026378;1414.1470026378;1414.1470026378;1414.1470026378;1414.1470026378;1414.1470026378;1414.1470026378;1414.1470026378;1414.1470026378;1414.1470026378;1414.1470026378;1414.1470026378;1414.1470026378;1414.1470026378;1414.1470026378;1414.1470026378;1414.1470026378;1414.1470026378;1414.1470026378;1414.1470026378;1414.1470026378;1414.1470026378;1414.1470026378;1414.1470026378;1414.1470026378;1414.1470026378;1414.1470026378;1414.1470026378;1414.1470026378;1414.1470026378;1495.6538141649;1495.6538141649;1495.6538141649;1411.4316178685;1457.4797694708;1000;1000
Property_business;78.1381672718;78.1381672718;78.1381672718;78.1381672718;78.1381672718;78.1381672718;78.1381672718;78.1381672718;78.1381672718;78.1381672718;78.1381672718;78.1381672718;78.1381672718;78.1381672718;78.1381672718;78.1381672718;78.1381672718;78.1381672718;78.1381672718;78.1381672718;78.1381672718;78.1381672718;78.1381672718;78.1381672718;78.1381672718;78.1381672718;78.1381672718;78.1381672718;78.1381672718;78.1381672718;78.1381672718;78.1381672718;78.1381672718;78.1381672718;78.1381672718;79.136906447;79.136906447;79.136906447;78.1086011957;78.902876198;78.1086011957;78
Comp;952.9151021952;952.9151021952;952.9151021952;952.9151021952;952.9151021952;952.9151021952;952.9151021952;952.9151021952;952.9151021952;952.9151021952;952.9151021952;952.9151021952;952.9151021952;952.9151021952;952.9151021952;952.9151021952;952.9151021952;952.9151021952;952.9151021952;952.9151021952;952.9151021952;952.9151021952;952.9151021952;952.9151021952;952.9151021952;952.9151021952;952.9151021952;952.9151021952;952.9151021952;952.9151021952;952.9151021952;952.9151021952;952.9151021952;952.9151021952;952.9151021952;1015.1327951313;1015.1327951313;1015.1327951313;935.8389164316;979.1940204552;1000;1000
€/tep_€/tons_€/Vehicle_€/ktons.km_€/kPass.km_???;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
