;Crude_oil;Natural_gas;Coal;AllFuels;Electricity;HeatGeoSol_Th;Heavy_Industry;Buildings_constr;Work_constr;Automobile;OthTranspEquip;Load_PipeTransp;PassTransp;AirTransp;Agri_Food_industry;Property_business;OtherSectors;C;G;I;X;Tot_uses;Y;M
Crude_oil;0;0;0;43792.92821;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16.33333333;43809.26154;802.7208167;43006.54073
Natural_gas;0.430886405;0;0.197731796;321.1138525;3691.305028;1517.744467;5902.125677;25.09275531;196.3997175;155.14942;93.75209717;392.399896;35.76364793;0.65722737;2984.297104;149.0859047;6615.004592;10602.95195;0;0;1946.156508;34629.62846;1307.450142;33322.17838
Coal;0;0;2854.508703;0;1918.723158;113.631525;3069.700078;0;1.845666667;1.497096427;0.590959116;0;0;0;324.869958;0.153183333;73.43651945;17.15665;0;0;60.4128;8436.526296;2840.010128;5596.516169
AllFuels;0;0;0;0;1370.619447;325.3252449;1441.367129;51.0130549;463.234438;43.60917724;17.97534137;7228.869507;1002.02854;3180.316084;2991.824872;38.91623677;5913.152362;25882.36774;0;0;9877;59827.61918;32864.03238;26963.5868
Electricity;41.0084781;23.45820634;18.77856124;1089.676082;0;1399.540021;6199.9433;12.01154946;265.5933505;249.346729;150.584648;748.2958898;548.306193;9.560021018;2520.155455;201.6834203;14329.56022;13866.2093;0;0;5304.207938;46977.91936;45994.27066;983.6486917
HeatGeoSol_Th;0;0;0;0;0;0;838.4928162;0;36.60618523;0;0;0;0;0;178.3995016;27.7997968;1785.11954;1617.762012;0;0;0;4484.179852;4484.179852;0
Heavy_Industry;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;204504.476;0
Buildings_constr;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;55207.58738;0
Work_constr;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;240425.7571;0
Automobile;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2374.52485;0;0;0;4144.770717;2879.964464;0
OthTranspEquip;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;80037.83019;0
Load_PipeTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;368190.6692;0
PassTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;206935.3234;0;0;0;206935.3234;203696.1669;0
AirTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8290.320011;0;0;0;20336.79967;19338.47515;0
Agri_Food_industry;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;119139.8814;0;0;0;202915.2868;235056.9965;0
Property_business;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2765961.925;0;0;0;3503665.383;4017112.632;0
OtherSectors;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2992202.467;0
ktoe_ktons;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
