IC prices CO2;Crude;Natur;Coal ;AllFu;Elect;HeatG;Heavy;Build;Work_;Autom;Load_;PassT;Agri_;Prope;OthSe;C;G;I;X;
Crude;-36.5;-36.5;-36.5;-36.5;-36.5;-36.5;-36.5;-36.5;-36.5;-36.5;-36.5;-36.5;-36.5;-36.5;-36.5;-36.5;-36.5;-36.5;-36.6;
Natur;2.6;2.7;2.6;2.6;2.6;2.6;2.6;2.7;2.7;2.7;2.7;2.7;2.7;2.7;2.7;2.5;2.5;2.5;2.8;
Coal ;1.8;1.8;1.8;1.8;1.8;1.8;1.8;1.8;1.8;1.8;1.8;1.8;1.8;1.8;1.8;1.6;1.6;1.6;1.8;
AllFu;-4.1;-4.1;-4.1;-4.1;-3.1;-3.4;-4;-4.3;-4.3;-4.5;-4.3;-4.3;-4;-4.3;-4.2;-3.1;-3.1;-3.1;-5.4;
Elect;38.6;38.6;38.6;38.6;39;38.6;38.4;39.1;39.1;38.6;38.6;38.6;38.7;39.1;39.1;38.5;38.3;38.3;40.1;
HeatG;12.7;12.7;12.7;12.7;12.7;12.7;12.7;12.7;12.7;12.7;12.7;12.7;12.7;12.7;12.7;12.4;12.4;12.4;12.8;
Heavy;1.4;1.4;1.4;1.4;1.4;1.4;1.4;1.4;1.4;1.4;1.4;1.4;1.4;1.4;1.4;1.2;1.2;1.2;1.4;
Build;5.2;5.2;5.2;5.2;5.2;5.2;5.2;5.2;5.2;5.2;5.2;5.2;5.2;5.2;5.2;5;5;5;5.2;
Work_;5.2;5.2;5.2;5.2;5.2;5.2;5.2;5.2;5.2;5.2;5.2;5.2;5.2;5.2;5.2;5.1;5.1;5.1;5.3;
Autom;2.3;2.3;2.3;2.3;2.3;2.3;2.3;2.3;2.3;2.3;2.3;2.3;2.3;2.3;2.3;2.1;2.1;2.1;2.3;
Load_;35.5;35.5;35.5;35.5;35.5;35.5;35.5;35.5;35.5;35.5;35.5;35.5;35.5;35.5;35.5;35;35;35;30.5;
PassT;9.4;9.4;9.4;9.4;9.4;9.4;9.4;9.4;9.4;9.4;9.4;9.4;9.4;9.4;9.4;9.4;9.4;9.4;8.7;
Agri_;4.8;4.8;4.8;4.8;4.8;4.8;4.8;4.8;4.8;4.8;4.8;4.8;4.8;4.8;4.8;4.8;4.8;4.8;4.8;
Prope;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;5.9;5.9;5.9;6;
OthSe;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4.9;4.9;4.9;5.1;
;;;;;;;;;;;;;;;;;;;;
w;11.6;11.6;11.6;11.6;11.6;11.6;11.6;11.6;11.6;11.6;11.6;11.6;11.6;11.6;11.6;;;;;
pL;12.5;12.5;12.5;12.5;12.5;12.5;12.5;12.5;12.5;12.5;12.5;12.5;12.5;12.5;12.5;;;;;
pK;4.9;4.9;4.9;4.9;4.9;4.9;4.9;4.9;4.9;4.9;4.9;4.9;4.9;4.9;4.9;;;;;
pY;30.9;1711.6;1.2;4.3;40.1;12.8;2.3;5.2;5.3;4.2;20.8;9;5.8;6;5.5;;;;;
pM;-37.7;-5;-6.7;-13.8;38.4;38.4;0;0;0;0;0;0;0;0;0;;;;;
p;-36.6;2.8;1.8;-5.4;40.1;12.8;1.4;5.2;5.3;2.3;20.2;8.7;4.8;6;4.9;;;;;
;;;;;;;;;;;;;;;;;;;;
Units;0.01 €/tep, €/tons;;;;;;;;;;;;;;;;;;;
