Ratio;Primary Energy;Final Energy;Non-energy goods
Production Price (Laspeyres);1431.908;20.537311;5.6594142
Real Households consumption (Laspeyres);-16.693132;2.337926;5.0333863
Exports in volume;24.411778;-26.397154;11.250742
Imports in volume;-23.810921;-4.1898139;17.471803
Carbon Taxe rate;0 euro/tCO2;;
Revenue-reclycling option;No recycling revenues;;
