CompT%;pY;Y vol;pM;M vol;C vol;G vol;I vol;X vol;Ener Cost Share;Trade Intens;Import Penet Rate
Crude_oil;30.914008;-60.977254;-37.73071;-30.894489;Nan;Nan;Nan;-46.967688;14.947268;-15.782381;-0.2952923
Natural_gas;1711.6101;-94.562961;-4.9513125;-9.7320912;-15.739857;Nan;Nan;30.501325;-0.0939440;-10.451202;-4.8684786
Coal;1.2149983;-3.5751748;-6.6808264;-34.732519;-93.930731;Nan;Nan;-41.844907;-0.6348187;-37.634809;-17.272428
AllFuels;4.2918254;-31.962752;-13.753014;-4.6152276;-0.8942899;Nan;Nan;-34.528683;-28.613061;2.7116727;4.1034003
Electricity;40.14045;9.858141;38.371117;5.892622;4.7836938;Nan;Nan;22.325223;-3.9357901;6.2463861;-3.8236979
HeatGeoSol_Th;12.813765;41.001073;38.371117;-100;1173.9447;Nan;Nan;Nan;1.8972277;Nan;Nan
Heavy_Industry;2.3437027;6.1046792;0;16.787815;8.2034316;15.070888;-10.63642;0.0324274;-1.4948946;5.683834;5.1399103
Buildings_constr;5.2358985;23.5245;0;-32.019226;Nan;Nan;23.525735;Nan;-0.0928377;Nan;Nan
Work_constr;5.2515873;20.138304;0;-33.882794;4.7884458;Nan;23.525735;Nan;-0.1823579;Nan;Nan
Automobile;4.1791502;5.6826186;0;16.323259;7.8261752;Nan;23.525735;11.250742;-0.2626105;4.5714746;3.772349
Load_PipeTransp;20.828829;3.3413809;0;13.746294;-18.401109;-18.135882;Nan;11.250742;8.210971;-1.2755471;-8.5307829
PassTransp;8.988568;0.4028354;0;10.511881;0.6590769;Nan;Nan;Nan;-0.5830312;0.9908549;0.9654965
Agri_Food_industry;5.8351534;4.5043515;0;15.026358;6.5977047;8.9388383;13.409149;10.724655;0.0501604;4.7402943;4.3474057
Property_business;5.9559342;5.2927449;0;-42.052935;3.9630251;4.3009437;23.525735;Nan;-0.0549527;Nan;Nan
OthSectors;5.5029257;7.4904208;0;18.313079;5.2332081;4.8593751;23.92573;15.591099;-0.5235587;3.7339137;4.1733344
