IC prices CO2;Crude;Natur;Coal ;AllFu;Elect;HeatG;Heavy;Build;Work_;Autom;Load_;PassT;Agri_;Prope;OthSe;C;G;I;X;
Crude;436.4;436.4;436.4;436.4;436.4;436.4;436.4;436.4;436.4;436.4;436.4;436.4;436.4;436.4;436.4;436.4;436.4;436.4;458.2;
Natur;329;438.8;329;329;329;329;330.1;476;408;408;408;408;413.5;408;408;724.9;529.9;529.9;200.8;
Coal ;226.4;226.4;245.9;226.4;148.3;171.9;290.7;226.4;273.5;385.8;226.4;226.4;187.6;273.5;199.9;265.8;269.9;269.9;299.7;
AllFu;799.1;799.1;799.1;799.1;442;526.1;736.6;961.3;955.4;1109.4;978.3;978.3;728.7;955.4;882.8;1332.6;1323;1323;534.7;
Elect;580;580;580;580;788.3;580;506;865;830.7;580;580;580;628.3;830.7;861.9;1451;1204.7;1204.7;518.2;
HeatG;681.7;681.7;681.7;681.7;681.7;681.7;681.7;681.7;683.7;681.7;681.7;681.7;683.7;683.7;683.7;768.6;827.3;827.3;674.6;
Heavy;1292.1;1292.1;1292.1;1292.1;1292.1;1292.1;1292.1;1292.1;1292.1;1292.1;1292.1;1292.1;1292.1;1292.1;1292.1;1435.4;1435.4;1435.4;1287.5;
Build;1004.6;1004.6;1004.6;1004.6;1004.6;1004.6;1004.6;1004.6;1004.6;1004.6;1004.6;1004.6;1004.6;1004.6;1004.6;1132.8;1132.8;1132.8;1000;
Work_;1004.9;1004.9;1004.9;1004.9;1004.9;1004.9;1004.9;1004.9;1004.9;1004.9;1004.9;1004.9;1004.9;1004.9;1004.9;1099;1099;1099;1000;
Autom;25595.6;25595.6;25595.6;25595.6;25595.6;25595.6;25595.6;25595.6;25595.6;25595.6;25595.6;25595.6;25595.6;25595.6;25595.6;26633.6;29508.1;43664.4;25889;
Load_;81.9;81.9;81.9;81.9;81.9;81.9;81.9;81.9;81.9;81.9;81.9;81.9;81.9;81.9;81.9;114.2;114.2;114.2;95.2;
PassT;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;82.4;82.4;82.4;87.5;
Agri_;1369.5;1369.5;1369.5;1369.5;1369.5;1369.5;1369.5;1369.5;1369.5;1369.5;1369.5;1369.5;1369.5;1369.5;1369.5;1448;1448;1448;1374.4;
Prope;78.1;78.1;78.1;78.1;78.1;78.1;78.1;78.1;78.1;78.1;78.1;78.1;78.1;78.1;78.1;79.1;79.1;79.1;78.1;
OthSe;955.9;955.9;955.9;955.9;955.9;955.9;955.9;955.9;955.9;955.9;955.9;955.9;955.9;955.9;955.9;1019.4;1019.4;1019.4;939.1;
;;;;;;;;;;;;;;;;;;;;
w;78689.7;54676;39053.7;68014.5;54676;54676;45414.3;33620.1;18583.5;61410;188047.9;42610.7;30439;20727.6;29504.8;;;;;
pL;113258.8;78695.6;56210.4;97893.9;78695.6;78695.6;65365.3;48389.8;26747.4;88387.9;270659.1;61329.9;43811.1;29833.5;42466.5;;;;;
pK;906;906;906;906;906;906;906;906;906;906;906;906;906;906;906;;;;;
pY;180;12404.8;330.1;614;748;666.4;1000;1000;1000;21043.9;176.5;87.5;1000;78.1;1000;;;;;
pM;445;233.9;179.5;433.3;654.1;666.4;1000;1000;1000;21043.9;176.5;87.5;1000;78.1;1000;;;;;
p;435.4;416;212.4;543.6;744.5;666.4;1000;1000;1000;21043.9;176.5;87.5;1000;78.1;1000;;;;;
;;;;;;;;;;;;;;;;;;;;
Units;1 €/tep, €/tons;;;;;;;;;;;;;;;;;;;
