alpha;Crude;Natur;Coal ;AllFu;Elect;HeatG;Heavy;Build;Work_;Autom;Load_;PassT;Agri_;Prope;OthSe
Crude;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Natur;-85.7;0;-86;-54.5;-35;-62.7; 37.7;-27.1;-25.1;-41.7;-37.8; 37.6; 4.8;-35;-26.9
Coal ;0;0;-3.2;0;-44.6; 1149.2;-37.4;0;-25.4;-42;0;0; 80.6;-35.3;-38.9
AllFu;0;0;0;0; 46; 47;-77.1;-31.7;-29.8;-45.4; 156.5;-32.8;-18.2;-39.1;-81.3
Elect; 402.4; 227.2; 389.3; 629.4;0; 394.9; 7.2;-29.8;-27.8;-43.9;-84.6; 277.5; 35.8;-37.4;-11.8
HeatG;0;0;0;0;0;0;%i*0.5;0;-28.4;0;0;0;-41;-37.9;-48.3
Heavy;0; 2209.2;0; 207.5; 57.6;0; 0.1; 0.1; 0.1; 0.1; 0.2; 0.2; 0.8; 0.2; 0.1
Build;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Work_;0; 2209.2;0; 207.5; 57.6;0;0;0;0;0; 0.1; 0.1;0;0;0
Autom;0; 2209.2;0; 207.5; 57.6;0; 0.1; 0.1; 0.1; 0.1; 0.2; 0.2; 0.6; 0.2; 0.1
Load_;0; 2209.2;0; 207.5; 57.6;0;-1.1;-0.8;-0.8;-0.9;-0.6;-0.6;-4.8;-1.5;-0.6
PassT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Agri_;0; 2209.2;0; 207.5; 57.6;0;0;0;0;0; 0.1; 0.1; 0.1;0;0
Prope;0; 2209.2;0; 207.5; 57.6;0;-0.1;0;0;-0.1; 0.1; 0.1;-0.2;0;0
OthSe;0; 2209.2;0; 207.5; 57.6;0;0;0;0;0; 0.1; 0.1;0;0;0
;;;;;;;;;;;;;;;
lambda;-4.8;207.5;-4.8;-4.8;-4.8;-4.8;-4.9;-4.9;-4.8;-4.9;-4.7;-4.7;-5.2;-4.9;-4.8
kappa;3;2209.2;3;207.5;57.6;3;3;3;3;3;3.1;3.1;3;3;3
;;;;;;;;;;;;;;;
Units;nan;;;;;;;;;;;;;;
