2027;Coal;COilFFuelExDies;NaturalGas;Allbiofuel;Diesel;Electricity;PlantedForest;Cattle;RestAgri;Cement;IronSteel;NonFerrousMetals;Chemical;BovineMeat;RestFoodBeve;PaperPulp;RestIndus;Transp;RestComp;C;G;I;X;Tot_uses;Y;M
Coal;0;0;0;0;0;3454.2;0;0;0;121.0250869;14158.54728;1111.02605;66.26042874;4.526950937;20.99098353;50.28681107;290.3314093;0;0;0;0;0;0;19277.195;2665.400783;16611.79422
COilFFuelExDies;0;71086.83043;1273.794675;0;52832.93969;1196.920458;1.907075935;5.177158397;30.27754818;1506.027755;203.6002517;1583.740424;4737.941999;54.3454605;251.9940423;353.2853031;1065.752226;6801.052145;705.6551612;22541.92944;0;0;185262.149;351495.3202;332273.9235;19221.39676
NaturalGas;0;23384.90906;12762.79166;0;1628.344979;0;0;0;0;1.789349459;519.1995098;298.5052908;860.758321;61.43693532;284.8764467;379.6341515;1844.414298;588.0673333;138.4911631;315.8446297;0;0;0;43069.06312;43069.06312;0
Allbiofuel;0;0;0;2304.404502;0;3393.460293;223.4782196;606.6785911;3548.035208;301.2605956;4174.851481;14.15229576;63.16026516;396.7227328;1839.560548;10363.35432;3230.465154;5095.119711;180.7264228;16015.02432;0;0;0;51750.45466;51750.45466;0
Diesel;0;0;0;0;0;0;362.5382946;984.1863881;5755.812069;60.61483359;41.30473617;10.69460252;17.27883421;44.64514795;207.0147387;204.1879136;594.0335208;38592.91508;28.84953887;0;0;0;1776.211723;48680.28742;48680.28742;0
Electricity;0;1889.988311;0.001483598;775.3982156;212.1488681;12183.5106;175.1031835;475.3543895;2780.012572;623.0277651;2713.52786;3264.163266;1807.641606;463.6643525;2149.961623;2426.351609;6642.374701;251.6118134;16231.05937;16837.59082;0;0;0;71902.49242;70306.54813;1595.944283
PlantedForest;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;336717.7326;0
Cattle;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10625.88248;0
RestAgri;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;449659.3996;0
Cement;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;72782.74885;0
IronSteel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;61324.78961;0
NonFerrousMetals;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26928.11563;0
Chemical;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;277882.4074;0
BovineMeat;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13434.50618;0
RestFoodBeve;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1067797.268;0
PaperPulp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40277.32787;0
RestIndus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1953371.946;0
Transp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;559858.8788;0
RestComp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7325975.658;0
1 ktoe / ktons;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
