;PrimEnergy;FinEnHTr;FinEnHRes;Comp;C;G;I;X;Tot_uses;Y;M
PrimEnergy;227;223;223;227;227;227;227;227;226.9491976;224;227
FinEnHTr;374;667;666;666;1147;374;374;293;374.2687913;401;289
FinEnHRes;461;430;254;367;800;357;357;220;357.1536951;509;171
Comp;1004;1004;1004;1004;1077;1077;1077;996;1000;1000;1000
euro_per_toe;0;0;0;0;0;0;0;0;0;0;0
