;PrimEnergy;FinEnHTr;FinEnHRes;Comp;C;G;I;X;Tot_uses;Y;M
PrimEnergy;0;47437.06228;29782.8444;0;0;0;0;60;77279.90668;1364.865026;75915.04166
FinEnHTr;0;1633.849478;1688.167037;20239.64335;29614.47901;0;0;7267.133512;60443.27238;46194.48732;14248.78506
FinEnHRes;16.159315;4216.08466;26303.20731;59168.19583;38240.2375;0;0;24333.39612;152277.2807;83717.89046;68559.39028
Comp;124.473199;3801.491594;12987.54854;1404041.951;792688.9462;386183.7873;297410.6959;420815.8099;3318054.703;2927155.883;390898.8202
ktoe;0;0;0;0;0;0;0;0;0;0;0
