Socio demograhic variables;value;units
Population;62444.707;Thousands of people
Retired;13400;Thousands of people
Unemployed;2609.21825;Thousands of people
Labour_force;24628.559;Thousands of Full Time Equivalent
Consumption_Units;42661.9901;Thousands of Consumption Unit
Nb_Households;25706.474;Thousands of people
