"Household Identifier (French metropolitain households only)
Source : table ""households"" in BDF, INSEE";"INSEE Statistical ponderation (for making the sample representative for the total French metropolitan population)
Source : table ""households"" in BDF, INSEE";"Expenditures (COICOP)
Food and non alcoholic beverages
Source : table ""Expenditures"", BDF, INSEE";"Expenditures (COICOP)
Acoholic beverages, tabocco and narcotics";"Expenditures (COICOP)
Clothing and footware";"Expenditures (COICOP)
Housing, electricity, gas and other combustibles";"Expenditures (COICOP)
Furnitures, housekeeping and home maintenance";"Expenditures (COICOP)
Health";"Expenditures (COICOP)
Transports";"Expenditures (COICOP)
Communications";"Expenditures (COICOP)
Leisure and culture";"Expenditures (COICOP)
Education";"Expenditures (COICOP)
Hotels and restaurants";"Expenditures (COICOP)
Miscellaneous goods and services";"Expenditures (COICOP)
Taxes, loan payments, large works, savings, and employer's fees";"Expenditures (COICOP)
Housing allocations received (APL)";"Total final consumption expenditures 
Include items C1 to C12 ";;"Total current income divided by the number of consumption units according to the OECD equilence scale
(standard of leaving definition)
Computed ";"Standard of leaving decile
(computed using revtotuc)";"Total number of people
Source : Table ""Households"" from BDF, INSEE";"Number of pensioners
Source : table ""individuals"" in BDF, INSEE
Computed
Sum of household's individuals with modality 5 (retired or ""pre-retired"") for variable SITUA (labour market status).";"Number of unemployed
Source : table ""individuals"" in BDF, INSEE
Computed
Sum of household's individuals with modality 4 (unemployed people registered or non to the French employment office) for variable SITUA (labour market status).";"Number of employed
Source : table ""individuals"" in BDF, INSEE
Computed
Sum of household's individuals with modality 1 (employed) and 2 (pais apprentice/trainee) for variable SITUA (labour market status).";"Number of consumption units (OECD equivalent scale : 1 for the first adult, 0.5 for each person older than 14, 0.3 for each person younger than 14)
Source : Table ""Households"" from BDF, INSEE";"Net wages
Source : Table ""Households"" from BDF, INSEE";"Incomes of self-employed persons
Source : Table ""Households"" from BDF, INSEE";"Unemployment benefits
Source : Table ""Households"" from BDF, INSEE";"Pension benefits
Source : Table ""Households"" from BDF, INSEE";"Social benefits
Source : Table ""Households"",  BDF, INSEE";"Other social benefits 
Computed : Social Benefits (revsoc) minus Pension Benefits (retraites) minus Unemployment Benefits (chomage)
Source (revsoc, retraites, chomage): Table ""Households"",  BDF, INSEE";"Property income
Source : Table ""Households"" from BDF, INSEE";;;;;;;;;;;;;;
ident_men;pondmen;c01;c02;c03;c04;c05;c06;c07;c08;c09;c10;c11;c12;c13;c14;ctot1_12;LoyerImp;revtotuc;decuc2;npers;nretraite;nchom;nactoccup;coeffuc;salaires;revindep;chomage;retraites;revsoc;AutreRevSoc;revpat;rev500;rev520;rev501;rev502;rev503;rev519;rev509;rev504;rev505;rev506;rev507;rev508;rev602;rev603
1;2901,594334;3384;614;652;1900;150;270;4596;1730;981;0;175;1552;9076;5220;16004;0;12262;2;3;0;0;1;1,8;850;0;0;0;21220;21220;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2;656,7065594;3422;0;0;3227;0;168;655;757;2872;0;1617;5352;2162;0;18070;4164;17711;5;2;2;0;0;1,5;0;0;0;18720;18720;0;7846;14;0;18;0;1014;0;0;0;6800;0;0;0;0;0
3;3494,516197;0;0;1071;2370;88;179;3857;695;1390;8000;1106;780;750;2040;19536;0;6007;1;1;0;0;0;1;0;0;0;0;2040;2040;367;75;0;107;0;185;0;0;0;0;0;0;0;0;0
4;2346,497291;5150;4160;2024;4046;894;1127;15272;1554;4238;0;768;7405;2784;5868;46638;0;11692;2;6;0;0;3;3,1;16240;0;0;0;19658;19658;86;4;0;0;0;82;0;0;0;0;0;0;0;0;0
5;1055,037503;9377;30;0;1972;232;0;4457;204;718;50;3688;7169;3893;0;27897;3144;14640;3;4;0;0;3;2,5;0;36590;0;0;0;0;9;9;0;0;0;0;0;0;0;0;0;0;0;0;0
6;2524,45313;4099;1770;2420;2470;0;275;34822;1154;4604;0;5602;5839;17562;0;63055;5376;32411;9;3;0;0;3;2;63780;0;380;0;380;0;661;79;0;582;0;0;0;0;0;0;0;0;0;0;0
7;2818,878777;4191;0;3626;1689;28;492;24690;828;6408;0;3658;7401;10501;0;53011;4740;28898;8;4;0;0;2;2,1;57900;0;0;0;1520;1520;1265;746;0;519;0;0;0;0;0;0;0;0;0;0;0
8;3042,172564;1810;0;1650;7300;615;146;3510;632;451;0;1212;2168;1737;0;19494;0;20618;6;1;0;0;1;1;19950;0;0;0;0;0;668;654;14;0;0;0;0;0;0;0;0;0;0;0;0
9;2321,911115;1011;0;3543;1904;517;504;4054;1725;6991;0;1340;6855;41418;0;28444;17400;10384;2;4;0;0;2;2,1;24790;0;0;0;1520;1520;-4503;603;0;0;31;28;0;0;-5165;0;0;0;0;0;0
12;3847,423088;3854;1317;119;6401;552;132;0;538;1331;0;0;2411;706;0;16655;0;20846;6;1;1;0;0;1;0;0;0;20510;20510;0;336;37;0;0;0;299;0;0;0;0;0;0;0;0;0
13;2997,943136;3474;0;324;2646;699;480;1513;420;171;0;0;2556;3226;0;12283;4488;21227;6;2;2;0;0;1,5;0;0;0;30950;30950;0;890;122;0;0;0;768;0;0;0;0;0;0;0;0;0
14;778,1646168;6169;5113;803;2064;465;3200;10146;1442;912;0;9307;5576;29948;0;45197;5088;18631;5;5;0;0;3;3;55570;0;0;0;0;0;324;82;0;0;0;242;0;0;0;0;0;0;0;0;0
16;1673,274394;707;0;2094;9656;920;120;200;960;1611;0;2124;1694;5924;0;20086;0;24140;7;3;0;0;2;2;39810;0;0;0;8380;8380;89;89;0;0;0;0;0;0;0;0;0;0;0;0;0
17;5744,891587;12191;4477;552;2484;1061;132;306;646;3601;0;0;2000;3380;0;27450;5388;17452;5;2;0;1;0;1,5;0;0;15080;10930;26010;0;168;75;0;0;0;93;0;0;0;0;0;0;0;0;0
18;1144,004529;4989;614;267;2040;125;132;1924;852;938;0;0;3005;13467;0;14886;3168;18753;5;2;1;0;1;1,5;16260;0;0;11820;11820;0;50;50;0;0;0;0;0;0;0;0;0;0;0;0;0
19;1957,338684;4447;0;4075;9403;12;138;16340;804;3604;0;2619;9246;3288;0;50688;0;6557;1;5;0;1;0;2,4;7040;0;350;0;8680;8330;17;17;0;0;0;0;0;0;0;0;0;0;0;0;0
20;2315,638081;2069;0;2044;2000;463;0;4040;2040;2291;0;800;3927;9239;0;19674;3612;19888;6;3;0;1;2;2;37140;2610;0;0;0;0;25;25;0;0;0;0;0;0;0;0;0;0;0;0;0
22;2739,639977;7260;1675;1080;2255;552;423;0;240;3516;0;0;3600;4688;0;20601;2940;21399;6;2;2;0;0;1,5;0;0;0;31830;31830;0;268;268;0;0;0;0;0;0;0;0;0;0;0;0;0
23;2998,991564;4380;931;0;700;2874;372;0;1320;2221;0;1998;3664;25007;0;18460;6492;66950;10;1;0;0;1;1;66950;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24;2041,885236;10255;0;2564;4758;1384;5211;10591;2373;341;0;520;4306;8742;0;42303;10932;30653;9;2;2;0;0;1,5;0;0;0;45550;45550;0;429;429;0;0;0;0;0;0;0;0;0;0;0;0;0
26;1979,130394;2643;189;165;2241;938;123;3345;300;5107;0;190;3973;0;0;19214;8316;13637;3;2;2;0;0;1,5;0;0;0;19100;19100;0;1355;24;0;0;0;1331;0;0;0;0;0;0;0;0;0
27;1834,425875;8553;0;456;2136;722;12;0;180;3994;0;0;2496;1644;0;18549;1488;11929;2;1;1;0;0;1;0;0;0;6040;8710;2670;207;0;0;0;0;207;0;0;0;0;0;0;0;0;0
30;2213,526098;8819;0;0;6900;1132;388;1189;792;8598;1920;2212;1159;597;1596;33109;0;10075;2;5;0;1;0;2,6;2310;0;15860;0;23866;8006;20;20;0;0;0;0;0;0;0;0;0;0;0;0;0
32;3495,063292;6285;81;879;4005;2871;365;25735;1375;6058;0;1405;7211;21820;0;56270;6552;65560;10;2;1;0;0;1,5;0;0;0;96860;96860;0;1480;101;0;0;0;1379;0;0;0;0;0;0;0;0;0
36;2565,974155;12860;1055;1084;3139;2653;145;5741;898;1181;0;647;4832;13524;0;34235;6204;28705;8;2;2;0;0;1,5;0;0;0;42350;42350;0;707;136;0;285;0;286;0;0;0;0;0;0;0;0;0
37;3247,041047;3166;0;3518;9178;607;174;1981;1558;647;0;0;812;1800;312;21641;0;14091;3;3;0;0;1;1,8;19220;0;2440;0;6142;3702;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0
38;1007,994529;8827;0;0;2965;1801;97;2030;1520;5163;0;2260;3214;13990;0;27877;9420;25622;8;2;1;0;1;1,5;7360;0;0;30900;30900;0;173;173;0;0;0;0;0;0;0;0;0;0;0;0;0
41;2605,623119;4149;0;2437;2783;2570;585;2980;1780;3636;0;1623;4829;35517;0;27372;26088;50829;10;2;0;0;2;1,5;75570;0;0;0;0;0;673;128;0;0;119;426;0;0;0;0;0;0;0;0;0
